mpn	doc_type	url
IDP08E65D1	package	https://www.infineon.com/assets/row/public/documents/60/76/infineon-pg-to220-2-1-idp08e65d1xksa1-pd-en.pdf
KP254	package	https://www.infineon.com/assets/row/public/documents/24/76/infineon-pg-dsof-8-16-kp254xtma1-pd-en.pdf
IPD60R1K0PFD7S	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols---ipd60r1k0pfd7s---500v-950v---cadence-pcbdesigndata-en.zip
FS200R12KT4R-B11	pcb_3d	https://www.infineon.com/assets/row/public/documents/60/60/infineon-fs200r12kt4r-b11-3d-model-pcbdesigndata-en.stp
IPD90N06S4-04	datasheet	https://www.infineon.com/assets/row/public/documents/10/49/infineon-ipd90n06s4-04-datasheet-cn.pdf
BSC105N15LS5	datasheet	https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsc105n15ls5-datasheet-en.pdf
BTS50080-1TEA	package	https://www.infineon.com/assets/row/public/documents/10/76/infineon-pg-to252-5-11-bts500801teaauma1-pd-en.pdf
CY8C4147AZE-S568	pcb_3d	https://www.infineon.com/assets/row/public/documents/10/60/infineon-pcb-footprints-and-symbols-cy8c4147aze-s568-automotive-psoc-4100s-max-cadence-pcbdesigndata-en.zip
CY8C4147AZA-S548	pcb_3d	https://www.infineon.com/assets/row/public/documents/10/60/infineon-pcb-footprints-and-symbols-cy8c4147aza-s548-automotive-psoc-4100s-max-altium-pcbdesigndata-en.zip
CYW20829	user_manual	https://www.infineon.com/assets/row/public/documents/30/44/infineon-airoc-tm-cyw20829-bluetooth-r-low-energy-trace-antenna-module-evaluation-kit-cyw920829b0m2p4tai100-evk-quick-start-guide-usermanual-en.pdf
IPI032N06N3-G	package	https://www.infineon.com/assets/row/public/documents/24/76/infineon-pg-to262-3-1-ipi032n06n3gaksa1-pd-en.pdf
FP75R12N2T7P-B11	datasheet	https://www.infineon.com/assets/row/public/documents/60/49/infineon-fp75r12n2t7p-b11-datasheet-ja.pdf
IRFB42N20D	pqr	https://www.infineon.com/assets/row/public/documents/24/316/infineon-irfb42n20d-productqualificationreport-en.pdf
XMC4800-F100F1536-AA	pcb_3d	https://www.infineon.com/assets/row/public/documents/30/60/infineon-pcb-footprints-and-symbols---xmc4800-f100f1536-aa---32-bit-xmc4000-industrial-microcontroller-arm-cortex-m4---eagle-pcbdesigndata-en.zip
IPA600N25NM3S	datasheet	https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipa600n25nm3s-datasheet-cn.pdf
BSZ014NE2LS5IF	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols---bsz014ne2ls5if---n-channel---altium-pcbdesigndata-en.zip
IRFP4868	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols---irfp4868---n-channel---cadence-pcbdesigndata-en.zip
XMC1404-Q048X0200-AA	pcb_3d	https://www.infineon.com/assets/row/public/documents/30/60/infineon-pcb-footprints-and-symbols---xmc1404-q048x0200-aa---32-bit-xmc1000-industrial-microcontroller-arm-cortex-m0---altium-pcbdesigndata-en.zip
IRF7379	pcb_3d	https://www.infineon.com/assets/row/public/documents/10/60/infineon-pcb-footprints-and-symbols---auirf7379q---automotive-mosfet---cadence-pcbdesigndata-en.zip
CY8C4149AZS-S545	pcb_3d	https://www.infineon.com/assets/row/public/documents/10/60/infineon-pcb-footprints-and-symbols-cy8c4149azs-s545-automotive-psoc-4100s-max-cadence-pcbdesigndata-en.zip
IMT40R011M2H	datasheet	https://www.infineon.com/assets/row/public/documents/24/49/infineon-imt40r011m2h-datasheet-en.pdf
BTS441RG	pcb_3d	https://www.infineon.com/assets/row/public/documents/10/60/infineon-pcb-footprints-and-symbols---bts441rg---automotive-smart-high-side-switch--profet---eagle---v1-pcb-en.zip
IPT012N08NF2S	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols-ipt012n08nf2s-n-channel-eagle-pcbdesigndata-en.zip
