site_id,site_url,api_total,method
arcnl-nl-publications,https://arcnl.nl/publications/types/phdthesis,,unknown
bdap-opendata-rgs-mef-gov-it-catalog,https://bdap-opendata.rgs.mef.gov.it/catalog,,unknown
catalogue-data-govt-nz-dataset,https://catalogue.data.govt.nz/dataset/?res_format=PDF,,unknown
dair-dias-ie-cgi,https://dair.dias.ie/cgi/search/archive/advanced?screen=Search&dataset=archive&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=&keywords_merge=ALL&keywords=&subjects_merge=ANY&divisions_merge=ANY&type=article&department_merge=ALL&department=&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle&_action_search=Search,,unknown
data-biodiversity-be-dataset,https://data.biodiversity.be/dataset/,,unknown
data-gov-be-nl,https://data.gov.be/nl/datasets?f%5B0%5D=format%3A65,,unknown
doras-dcu-ie-view,https://doras.dcu.ie/view/type/article.html,,unknown
drugsandalcohol-ie-cgi,https://www.drugsandalcohol.ie/cgi/search/archive/type?dataset=archive&screen=Search&titlex_merge=ALL&titlex=&subjectx_merge=ALL&subjectx=&q_merge=ALL&q=&type=monograph&satisfyall=ALL&order=-date%2Fbrowse_by%2Ftitle&_action_search=Search,,unknown
eprints-imtlucca-it-cgi,http://eprints.imtlucca.it/cgi/search/archive/advanced?screen=Search&dataset=archive&documents_merge=ALL&documents=&title_merge=ALL&title=&publication_merge=ALL&publication=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=&keywords_merge=ALL&keywords=&subjects_merge=ANY&type=article&type=monograph&type=thesis&department_merge=ALL&department=&editors_name_merge=ALL&editors_name=&ispublished=pub&refereed=EITHER&eprintid=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle&_action_search=%EA%B2%80%EC%83%89+,,unknown
eprints-soton-ac-uk-view,https://eprints.soton.ac.uk/view/divisions/5d1c5ba6-6977-4d9d-9afe-fd1820201262/,,unknown
etera-ee-browse,https://www.etera.ee/browse,,unknown
iheid-swisscovery-ch-discovery,"https://iheid.swisscovery.ch/discovery/jsearch?query=any,contains,a&tab=jsearch_slot&vid=41SLSP_IID:VU1_CUSTOM&offset=0&journals=any,a",,unknown
ir-arcnl-nl,https://ir.arcnl.nl/#facet=type:article|dissertation|masterThesis|bachelorThesis,,unknown
opendata-centralbank-ie-dataset,https://opendata.centralbank.ie/dataset/,,unknown
opendatacommunities-org-data,https://opendatacommunities.org/data,,unknown
repository-naturalis-nl,https://repository.naturalis.nl/#facet=type:article|dissertation,,unknown
repository-tno-nl-doclist,"https://repository.tno.nl/DocList?find=ID%20%3E%200,refine_MATREP:CONFERENCE%20PAPER&sort=JVP:DESC:MATREP:DESC",,unknown
search-open-canada-ca-opendata,https://search.open.canada.ca/opendata/?page=1&sort=metadata_modified+desc&resource_format=PDF&resource_type=dataset,,unknown
sonar-ch-global,https://sonar.ch/global/search/documents?q=&page=1&size=10&sort=newest&document_type=coar:c_6501,,unknown
