site_id,sheet,collected,max_to_collect,source,exact_or_lowerbound,gap,health,observed_pdf_rate,projected_pdf_count,projected_storage_gb,corrected_max,correction_source,n_corroborating,confidence,corrected_storage_gb
academie-sciences-fr-espace-presse,French Public Institutions,68,370,custom_api,exact,302,,1.0,370,0.39,370,capacity_final.csv,3,unchanged,0.39
accc-gov-au-about-us,호주완료,502,836,api_html_count_regex,exact,334,,0.9422,788,1.7,836,capacity_final.csv,3,unchanged,1.7
accc-gov-au-search,호주완료,454,358,count_crawl,exact,-96,,0.6454,231,0.98,8000,exact_probe.csv,2,corroborated,21.9
acma-gov-au-publications,호주완료,316,,,unmeasured,,,0.7848,,,2275,count_only_c_full.csv,1,single_source,6.75
acpr-banque-france-fr-fr,French Public Institutions,225,233,count_crawl,exact,8,,0.9867,230,0.39,233,capacity_final.csv,5,unchanged,0.39
adaptcentre-ie-research,Irish Research Centers,206,3402,api_wordpress_publications,exact,3196,,0.0,0,0.0,3402,capacity_final.csv,2,unchanged,0.0
adruk-org-news-publications,영국완료,210,106,count_crawl,exact,-104,,0.3714,39,0.12,106,capacity_final.csv,5,unchanged,0.12
afd-fr-fr,French Public Institutions,797,319,count_timeout,lower_bound,-478,,0.8996,287,0.55,588,count_only_c_full.csv,1,single_source,1.01
afp-gov-au-news-centre,호주완료,432,451,count_timeout,lower_bound,19,,0.0162,7,0.08,3656,count_only_c_full.csv,1,single_source,0.65
afp-gov-au-search,호주완료,49,1,count_crawl,exact,-48,,0.9184,1,0.0,2025,exact_probe.csv,1,single_source,0.0
africamuseum-be-en,벨기에완료,52,11,count_timeout,lower_bound,-41,,0.0,0,0.0,52,count_only_c_full.csv,9,corroborated,0.0
ag-gov-au-publications,호주완료,607,,,unmeasured,,,0.9638,,,960,count_only_c_full.csv,1,single_source,2.85
agri-ee-ministeerium-uudised,Estonia Ministries,122,8,count_crawl,exact,-114,,0.9344,7,0.02,122,count_only_c_full.csv,2,corroborated,0.3
agriculture-gouv-fr-recherche-developpem,France Ministries,472,329,count_timeout,lower_bound,-143,,0.0106,3,0.01,400,count_only_c_full.csv,2,corroborated,0.01
alrc-gov-au-publications,호주완료,116,116,count_crawl,exact,0,,0.7672,89,0.3,116,capacity_final.csv,1,unchanged,0.3
ameslab-gov-news,American Research Institutes,394,396,count_crawl,exact,2,,0.0076,3,0.0,396,capacity_final.csv,8,unchanged,0.0
amf-france-org-fr,French Public Institutions,157,135,count_timeout,lower_bound,-22,,0.9809,132,0.09,725,count_only_c_full.csv,1,single_source,0.48
ami-swiss-en,Switzerland Research Centers,558,184,count_timeout,lower_bound,-374,,0.0,0,0.0,583,count_only_c_full.csv,4,corroborated,0.0
amolf-nl-publications,Dutch Research Centers,512,362,count_timeout,lower_bound,-150,,0.0,0,0.0,915,count_only_c_full.csv,1,single_source,0.0
amu-hal-science-search,French Public Universities,3048,2938,hal_api,exact,-110,,0.9613,2824,12.06,237733,crawler_health_final.csv,2,corroborated,975.85
andra-fr-publications,French Research Institutes,1,,,unmeasured,,zero_parsed,1.0,,,2373,exact_probe.csv,1,single_source,7.04
anr-hal-science-search,French Research Institutes,363,140008,hal_api,exact,139645,,1.0,140008,534.45,253771,crawler_health_final.csv,2,corroborated,968.72
anses-fr-fr,French Research Institutes,6091,0,count_timeout,lower_bound,-6091,,0.997,0,0.0,6186,big_totals.csv,1,single_source,18.35
ansto-gov-au-search,호주완료,30,27,count_crawl,exact,-3,,0.2667,7,0.02,2073,exact_probe.csv,1,single_source,1.54
app-mps-gov-cn-gdnps,중국 완료,501,,,unmeasured,,zero_parsed,0.0,,,2512,count_only_c_full.csv,1,single_source,7.45
apra-gov-au-statistics,호주완료,75,75,api_html_count_regex,exact,0,,0.24,18,0.0,75,capacity_final.csv,2,unchanged,0.0
arcep-fr-actualites,French Public Institutions,34,,,unmeasured,,zero_parsed,0.8235,,,3,reverify44.csv,1,single_source,0.01
archives-nationales-culture-gouv-fr-presse,French Public Institutions,15,26,custom_api,exact,11,,1.0,15,0.01,26,capacity_final.csv,3,unchanged,0.01
arcnl-nl-publications,Dutch Research Centers,11,11,count_crawl,exact,0,,0.0,6,0.03,11,capacity_final.csv,6,unchanged,0.03
arcom-fr-presse,French Public Institutions,290,307,api_html_count_regex,exact,17,,0.9172,282,0.09,307,capacity_final.csv,3,unchanged,0.09
arn-se-om-arn,스웨덴 완료,80,12,count_crawl,exact,-68,,1.0,12,0.01,12,capacity_final.csv,6,unchanged,0.01
arrow-tudublin-ie-creaart,Irish Research Centers,229,231,custom_api,exact,2,,0.2664,62,0.08,231,capacity_final.csv,4,unchanged,0.08
artsetmetiers-fr-fr,French Public Universities,222,223,count_crawl,exact,1,,1.0,223,0.07,223,capacity_final.csv,6,unchanged,0.07
artsetmetiers-hal-science-search,French Public Universities,86,,,unmeasured,,fetch_fail,0.9767,,,85,count_only_totalscan.csv,3,corroborated,0.25
asiapacific-ca-media,Canadian Research Centers,50,52,count_crawl,exact,2,,0.0,0,0.0,52,capacity_final.csv,5,unchanged,0.0
asn-fr-information,French Public Institutions,19,19,count_crawl,exact,0,,0.9474,11,0.28,19,capacity_final.csv,6,unchanged,0.28
astro-oma-be-en,벨기에완료,22,,,unmeasured,,zero_parsed,1.0,,,0,count_only_c_full.csv,0,single_source,0.0
astron-nl-about,Dutch Research Centers,57,0,count_timeout,lower_bound,-57,,1.0,0,0.0,57,count_only_c_full.csv,2,corroborated,0.17
audencia-com-lecole,French Public Universities,246,243,count_crawl,exact,-3,,0.0244,6,0.02,247,count_only_c_full.csv,6,corroborated,0.02
auri-re-kr-boardes,한국완료,260,267,count_crawl,exact,7,,0.9462,253,0.69,267,capacity_final.csv,6,unchanged,0.69
auri-re-kr-publication,한국완료,593,176,count_timeout,lower_bound,-417,,0.9764,172,11.73,1122,exact_probe.csv,1,single_source,74.78
auswaertiges-amt-de-de,Germany Ministries,224,,,unmeasured,,fetch_fail,0.0134,,,226,count_only_capped_1h.csv,5,corroborated,0.67
auswaertiges-amt-de-en,독일완료,526,,,unmeasured,,fetch_fail,0.0076,,,782,count_only_capped_1h.csv,5,corroborated,2.32
avoindata-suomi-fi-data,핀란드완료,154,2555,api_ckan,exact,2401,,0.0195,50,0.2,2555,capacity_final.csv,2,unchanged,0.2
babraham-ac-uk-news,영국완료,483,380,count_timeout,lower_bound,-103,,0.0166,6,0.02,483,count_only_c_full.csv,6,corroborated,0.03
bam-de-navigation,GER ResearchCenters(Unfinished),308,,,unmeasured,,zero_parsed,0.0,,,318,count_only_c_full.csv,1,single_source,0.94
bankofcanada-ca-publications,Canadian Research Centers,27,27,count_crawl,exact,0,,0.3333,9,0.0,27,capacity_final.csv,6,unchanged,0.0
banque-france-fr-en,French Public Institutions,530,30,count_crawl,exact,-500,,0.983,29,0.01,30,capacity_final.csv,6,unchanged,0.01
baw-de-en,GER ResearchCenters(Unfinished),14,,,unmeasured,,zero_parsed,1.0,,,0,count_only_c_full.csv,0,single_source,0.0
bdap-opendata-rgs-mef-gov-it-catalog,Italy Ministries,360,258,count_timeout,lower_bound,-102,,0.9333,241,0.11,2270,count_only_c_full.csv,1,single_source,0.97
benthamscience-com-press-release,Switzerland Research Centers,191,,,unmeasured,,zero_parsed,0.0,,,193,count_only_c_full.csv,7,corroborated,0.57
bfe-admin-ch-bfe,Switzerland Departments,1002,18,count_timeout,lower_bound,-984,,0.499,9,0.02,8508,big_totals.csv,1,single_source,9.45
bfr-bund-de-en,GER ResearchCenters(Unfinished),23,1,count_crawl,exact,-22,,1.0,1,0.0,1,capacity_final.csv,9,unchanged,0.0
bfs-admin-ch-bfs,Switzerland Departments,384,8141,custom_api,exact,7757,,0.3906,3180,2.03,8144,crawler_health_probe308.csv,6,corroborated,2.03
biblio-naturalsciences-be-rbins-publications,벨기에완료,500,387,count_timeout,lower_bound,-113,,0.63,244,0.77,750,count_only_capped_1h.csv,4,corroborated,1.49
biorbic-com-publications,Irish Research Centers,497,467,count_crawl,exact,-30,,0.008,4,0.01,467,capacity_final.csv,10,unchanged,0.01
bj-admin-ch-bj,Switzerland Departments,41,,,unmeasured,,fetch_fail,0.0244,,,3,reverify44.csv,1,single_source,0.01
bjerknes-uib-no-en,Norway Research Centers,214,12,api_html_count_regex,exact,-202,,0.2523,3,0.01,68,full_survey_totals.csv,1,single_source,0.06
bm-dk-soeg,덴마크완료,88,,,unmeasured,,fetch_fail,0.9886,,,1817,count_only_totalscan.csv,3,corroborated,5.39
bmas-de-de,Germany Ministries,454,326,count_timeout,lower_bound,-128,,0.0,0,0.0,582,count_only_c_full.csv,1,single_source,0.0
