site_id,counted,pages,completed,elapsed_s,error
gob-mx-agricultura,7752,864,True,555.3,
gob-mx-bienestar,3186,356,True,232.0,
gob-mx-buengobierno,1375,155,True,116.8,
gob-mx-defensa,2986,334,True,219.1,
gob-mx-mujeres,273,33,True,45.4,
gob-mx-salud,8529,950,True,617.2,
gob-mx-se,3361,376,True,262.5,
gob-mx-sectur,2233,251,True,168.6,
gob-mx-sedatu,3854,431,True,290.8,
gob-mx-segob,9193,1024,True,670.2,
gob-mx-semar,2225,250,True,176.6,
gob-mx-semarnat,2487,279,True,188.9,
gob-mx-sep,4231,473,True,298.4,
gob-mx-shcp,1785,201,True,156.5,
gob-mx-sict,5378,600,True,406.7,
gob-mx-sre,5290,590,True,397.3,
gob-mx-sspc,5482,612,True,417.5,
gob-mx-stps,2668,299,True,207.6,
