site_id,sheet,collected,counted,server_total,completed,elapsed_s,method,note
avoindata-suomi-fi-data,핀란드완료,154,153,0,True,7.3,count_crawl,caps_neutralized:_MAX_PAGES=200->big
artsetmetiers-hal-science-search,French Public Universities,86,63,85,True,8.1,count_crawl,caps_neutralized:_MAX_PAGES=200->big
amu-hal-science-search,French Public Universities,3048,510,81423,False,45.0,count_crawl,external_timeout_kill:lower_bound
anr-hal-science-search,French Research Institutes,363,454,2965,False,45.0,count_crawl,external_timeout_kill:lower_bound
bfs-admin-ch-bfs,Switzerland Departments,384,4,8141,False,45.0,count_crawl,external_timeout_kill:lower_bound
bm-dk-soeg,덴마크완료,88,23,1817,False,45.0,count_crawl,external_timeout_kill:lower_bound
book-ioj-go-kr-library,한국완료,500,96,0,False,45.0,count_crawl,external_timeout_kill:lower_bound
cac-gov-cn-hdfw,중국 완료,89,63,0,False,45.0,count_crawl,external_timeout_kill:lower_bound
chineseafs-org-ckynewsmgr,중국 완료,30,0,0,True,4.3,count_crawl,
cds-cern-ch-collection,Switzerland Research Centers,505,27,110804,False,45.0,count_crawl,external_timeout_kill:lower_bound
cea-hal-science-cnrgh,French Research Institutes,759,472,866,False,45.0,count_crawl,external_timeout_kill:lower_bound
cnam-hal-science-ceet,French Research Institutes,279,268,409,True,27.2,count_crawl,caps_neutralized:_MAX_PAGES=200->big
chinatax-gov-cn-chinatax,중국 완료,6,0,32,True,32.9,count_crawl,caps_neutralized:_MAX_PAGES=200->big;_WALL_BUDGET_SECS=1500->big
csrc-gov-cn-csrc_en,중국 완료,9,9,9,True,43.9,count_crawl,
cigionline-org-publications,Canadian Research Centers,500,527,1328,False,45.0,count_crawl,external_timeout_kill:lower_bound
cnam-hal-science-search,French Public Institutions,975,403,660,False,45.0,count_crawl,external_timeout_kill:lower_bound
data-busan-go-kr-bdip,한국완료,2022,1856,12421,False,45.0,count_crawl,external_timeout_kill:lower_bound
data-taltech-ee-search,Estonia Research Centers,92,92,111,True,43.3,count_crawl,caps_neutralized:_WALL_BUDGET=1500->big
en-moj-gov-cn-lawsandregulationsht,중국 완료,15,0,0,True,0.3,count_crawl,caps_neutralized:_MAX_PAGES=200->big;_WALL_CLOCK_SECS=1500->big
datacatalogue-adruk-org-browser,영국완료,484,44,219378,False,45.0,count_crawl,external_timeout_kill:lower_bound
ec-lyon-hal-science-search,French Public Universities,222,224,252,True,17.1,count_crawl,caps_neutralized:_MAX_PAGES=200->big
doaj-org-search,Irish Research Centers,1417,923,13362110,True,43.4,count_crawl,caps_neutralized:_MAX_PAGES=200->big
ehess-hal-science-search,French Public Universities,429,270,2756,True,25.3,count_crawl,caps_neutralized:_MAX_PAGES=200->big
drc-gov-cn-leafaspx,중국 완료,555,47,0,False,45.0,count_crawl,external_timeout_kill:lower_bound
education-govt-nz-search,뉴질랜드완료,66,0,0,True,40.1,count_crawl,
efk-admin-ch-fr,Switzerland Research Centers,26,7,0,False,45.0,count_crawl,external_timeout_kill:lower_bound
enssib-hal-science-search,French Public Universities,12,12,17,True,2.7,count_crawl,caps_neutralized:_MAX_PAGES=200->big
enac-hal-science-search,French Public Universities,549,31,57,False,45.0,count_crawl,external_timeout_kill:lower_bound
enc-hal-science-search,French Public Universities,509,383,666,False,45.0,count_crawl,external_timeout_kill:lower_bound
eprr-lanl-gov,American Research Institutes,367,0,0,True,2.0,count_crawl,
espci-hal-science-search,French Public Universities,22,18,21,True,2.7,count_crawl,caps_neutralized:_MAX_PAGES=200->big
energy-gov-search,USA Executive Departments,191,19,0,False,45.0,count_crawl,external_timeout_kill:lower_bound
ens-lyon-hal-science-search,French Public Universities,1343,362,2559,True,28.0,count_crawl,caps_neutralized:_MAX_PAGES=200->big
enpc-hal-science-search,French Public Universities,741,31,1719,False,45.0,count_crawl,external_timeout_kill:lower_bound
ens-hal-science-search,French Public Universities,18340,1473,28775,False,45.1,count_crawl,external_timeout_kill:lower_bound
hal-science-afd,French Public Institutions,59,61,67,True,6.3,count_crawl,caps_neutralized:_MAX_PAGES=200->big
enscp-hal-science-search,French Public Institutions,3517,1507,3778,False,45.1,count_crawl,external_timeout_kill:lower_bound
envt-hal-science-search,French Public Universities,1063,30,8034,False,45.1,count_crawl,external_timeout_kill:lower_bound
fair-healthdata-be-search,벨기에완료,10,1,248,False,45.0,count_crawl,external_timeout_kill:lower_bound
federalregister-gov-documents,USA Executive Departments,5957,5548,0,False,45.0,count_crawl,external_timeout_kill:lower_bound
fhi-no-en,Norway Research Centers,255,63,0,False,45.0,count_crawl,external_timeout_kill:lower_bound
go-griffith-ie-browse,Irish Research Centers,1111,37,617,False,45.0,count_crawl,external_timeout_kill:lower_bound
gov-il-collectors,Israel Ministries,708,1,0,False,45.0,count_crawl,external_timeout_kill:lower_bound
icn-hal-science-search,French Public Universities,133,97,139,True,10.0,count_crawl,caps_neutralized:_MAX_PAGES=200->big
icp-hal-science-search,French Public Institutions,220,132,182,True,13.1,count_crawl,caps_neutralized:_MAX_PAGES=200->big
inria-hal-science-search,French Research Institutes,1083,0,0,True,0.0,count_crawl,caps_neutralized:_MAX_PAGES=200->big;_WALL_CLOCK_BUDGET=1500->big;_WALL_CLOCK_MARGIN=30->big
imt-nord-europe-hal-science-search,French Public Universities,61,62,96,True,8.0,count_crawl,caps_neutralized:_SAFETY_PAGE_CAP=200->big
hal-science-ign-ensg,French Public Institutions,3288,386,3733,False,45.0,count_crawl,external_timeout_kill:lower_bound
hec-hal-science-search,French Public Universities,313,31,335,False,45.0,count_crawl,external_timeout_kill:lower_bound
hfml-felix-nl-en,Dutch Research Centers,62,11,0,False,45.0,count_crawl,external_timeout_kill:lower_bound
homeaffairs-gov-au-sitesearch,호주완료,1308,139,0,False,45.0,count_crawl,external_timeout_kill:lower_bound
hud-govt-nz-documents,뉴질랜드완료,148,7,0,False,45.0,count_crawl,external_timeout_kill:lower_bound
inserm-hal-science-search,French Research Institutes,883,904,1283,True,31.0,count_crawl,caps_neutralized:_MAX_PAGES=200->big;_WALL_CLOCK_BUDGET=1500->big
