site_id,health,flag_count,flags
academie-sciences-fr-espace-presse,timeout,3,PDF링크 접미사판정(랜딩미추적); MAX_PAGES=200; 25분벽시계
accc-gov-au-about-us,ok,2,MAX_PAGES=200; 25분벽시계
accc-gov-au-search,ok,3,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; 25분벽시계
acma-gov-au-publications,ok,2,25분벽시계; JS렌더의존(취약)
acpr-banque-france-fr-fr,ok,4,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; MAX_PAGES=200; 25분벽시계
adaptcentre-ie-research,ok,3,25분벽시계; 뉴스/보도성; JS렌더의존(취약)
adruk-org-news-publications,ok,3,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; 25분벽시계
afd-fr-fr,ok,2,초록<50자 skip; 25분벽시계
afp-gov-au-news-centre,ok,2,25분벽시계; JS렌더의존(취약)
afp-gov-au-search,ok,2,초록<50자 skip; 25분벽시계
africamuseum-be-en,ok,3,MAX_PAGES=200; 25분벽시계; 뉴스/보도성
ag-gov-au-publications,ok,2,25분벽시계; JS렌더의존(취약)
agri-ee-ministeerium-uudised,timeout,1,25분벽시계
agriculture-gouv-fr-recherche-developpem,ok,3,초록<50자 skip; MAX_PAGES=200; 25분벽시계
alrc-gov-au-publications,ok,2,25분벽시계; JS렌더의존(취약)
alrc-gov-au,?,3,초록<50자 skip; 25분벽시계; 뉴스/보도성
ameslab-gov-news,ok,2,25분벽시계; 뉴스/보도성
amf-france-org-fr,ok,3,초록<100자 skip; 25분벽시계; 뉴스/보도성
ami-swiss-en,ok,2,MAX_PAGES=200; 25분벽시계
amolf-nl-publications,ok,3,초록<50자 skip; 25분벽시계; JS렌더의존(취약)
amu-hal-science-search,ok,2,MAX_PAGES=200; 25분벽시계
andra-fr-publications,empty_zero_parse,4,초록<50자 skip; MAX_PAGES=200; 25분벽시계; JS렌더의존(취약)
anr-hal-science-search,ok,2,MAX_PAGES=200; 25분벽시계
anses-fr-fr,timeout,1,PDF링크 접미사판정(랜딩미추적)
ansto-gov-au-search,ok,4,PDF링크 접미사판정(랜딩미추적); MAX_PAGES=200; 25분벽시계; JS렌더의존(취약)
app-mps-gov-cn-gdnps,ok,3,초록<50자 skip; MAX_PAGES=200; 25분벽시계
apra-gov-au-statistics,empty_zero_parse,3,초록<50자 skip; MAX_PAGES=200; 25분벽시계
arcep-fr-actualites,empty_zero_parse,3,MAX_PAGES=200; 25분벽시계; 뉴스/보도성
archives-nationales-culture-gouv-fr-presse,ok,3,초록<50자 skip; 25분벽시계; JS렌더의존(취약)
arcnl-nl-publications,ok,3,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; 25분벽시계
arcom-fr-presse,ok,2,초록<100자 skip; 25분벽시계
arn-se-om-arn,ok,2,초록<50자 skip; 25분벽시계
arrow-tudublin-ie-creaart,ok,3,PDF링크 접미사판정(랜딩미추적); 초록<100자 skip; 25분벽시계
artsetmetiers-fr-fr,ok,4,초록<100자 skip; MAX_PAGES=200; 25분벽시계; 뉴스/보도성
artsetmetiers-hal-science-search,ok,2,MAX_PAGES=200; 25분벽시계
asiapacific-ca-media,ok,4,초록<50자 skip; 25분벽시계; 뉴스/보도성; JS렌더의존(취약)
asn-fr-information,ok,1,25분벽시계
astro-oma-be-en,timeout,3,초록<50자 skip; 25분벽시계; 뉴스/보도성
astron-nl-about,empty_zero_parse,3,PDF링크 접미사판정(랜딩미추적); MAX_PAGES=200; 25분벽시계
audencia-com-lecole,ok,3,25분벽시계; 뉴스/보도성; JS렌더의존(취약)
auri-re-kr-boardes,ok,3,PDF링크 접미사판정(랜딩미추적); MAX_PAGES=200; 25분벽시계
auri-re-kr-publication,ok,3,초록<50자 skip; MAX_PAGES=200; 25분벽시계
auswaertiges-amt-de-de,ok,3,MAX_PAGES=200; 25분벽시계; 뉴스/보도성
auswaertiges-amt-de-en,ok,3,MAX_PAGES=200; 25분벽시계; 뉴스/보도성
avoindata-suomi-fi-data,ok,3,초록<200자 skip; MAX_PAGES=200; 25분벽시계
babraham-ac-uk-news,ok,3,초록<50자 skip; 25분벽시계; 뉴스/보도성
bam-de-navigation,empty_zero_parse,2,25분벽시계; 뉴스/보도성
bankofcanada-ca-publications,ok,0,
banque-france-fr-en,ok,1,25분벽시계
baw-de-en,empty_zero_parse,1,25분벽시계
bdap-opendata-rgs-mef-gov-it-catalog,ok,1,25분벽시계
benthamscience-com-press-release,ok,6,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; MAX_PAGES=200; 25분벽시계; 뉴스/보도성; JS렌더의존(취약)
better-fsc-go-kr-fsc_new,?,0,
bfe-admin-ch-bfe,ok,3,MAX_PAGES=200; 25분벽시계; JS렌더의존(취약)
bfr-bund-de-en,ok,0,
bfs-admin-ch-bfs,ok,3,PDF링크 접미사판정(랜딩미추적); 25분벽시계; 뉴스/보도성
biblio-naturalsciences-be-rbins-publications,ok,2,초록<50자 skip; 25분벽시계
biorbic-com-publications,ok,2,25분벽시계; JS렌더의존(취약)
bj-admin-ch-bj,empty_zero_parse,2,25분벽시계; 뉴스/보도성
bjerknes-uib-no-en,ok,1,25분벽시계
bm-dk-soeg,ok,4,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; MAX_PAGES=200; 25분벽시계
bmas-de-de,ok,5,초록<50자 skip; MAX_PAGES=200; 25분벽시계; 뉴스/보도성; JS렌더의존(취약)
bmbfsfj-bund-de-bmbfsfj,ok,0,
