site_id,sheet,collected,source_total,exact,kind,health
e-stat-go-jp-stat-search,일본완료,1018,1709118,True,measured,정상(측정됨)
openresearch-repository-anu-edu-au-search,호주완료,261,393484,True,measured,정상(측정됨)
research-collection-ethz-ch-search,Switzerland Research Centers,459,303530,True,measured,정상(측정됨)
inserm-hal-science-search,French Research Institutes,883,254477,True,measured,정상(측정됨)
anr-hal-science-search,French Research Institutes,363,253771,True,measured,정상(측정됨)
pergamos-lib-uoa-gr-search,Greece Research Centers,500,250523,True,measured,정상(측정됨)
amu-hal-science-search,French Public Universities,3048,237733,True,measured,정상(측정됨)
ostrnrcan-dostrncan-canada-ca-search,Canadian Research Centers,220,198333,True,measured,정상(측정됨)
cea-hal-science-cnrgh,French Research Institutes,759,151061,True,measured,정상(측정됨)
data-gov-au-data,호주완료,500,140429,True,measured,정상(측정됨)
data-gv-at-datasets,오스트리아완료,400,116818,True,measured,정상(측정됨)
dspace-ut-ee-search,Estonia Research Centers,125,114527,True,measured,정상(측정됨)
ehess-hal-science-search,French Public Universities,429,108008,True,measured,정상(측정됨)
ens-lyon-hal-science-search,French Public Universities,1343,106515,True,measured,정상(측정됨)
repositorio-uchile-cl-discover,Chile Research Centers,500,102175,True,measured,정상(측정됨)
ird-hal-science-search,French Research Institutes,1144,88988,True,measured,정상(측정됨)
ens-hal-science-search,French Public Universities,18340,84355,True,measured,정상(측정됨)
ntrs-nasa-gov-search,American Research Institutes,6490,71863,True,measured,정상(측정됨)
data-gov-uk-search,영국완료,488,58487,True,measured,정상(측정됨)
nora-nerc-ac-uk-view,영국완료,596,57936,True,measured,정상(측정됨)
ir-lib-uth-gr-xmlui,Greece Research Centers,843,55971,True,measured,정상(측정됨)
polytechnique-hal-science-search,French Public Universities,3103,51962,True,measured,정상(측정됨)
gov-scot-publications,영국완료,1024,50542,True,measured,정상(측정됨)
olympias-lib-uoi-gr-jspui,Greece Research Centers,400,50014,True,measured,정상(측정됨)
energy-gov-search,USA Executive Departments,191,49332,True,measured,정상(측정됨)
lenus-ie-browse,Irish Research Centers,168,47138,True,measured,정상(측정됨)
enpc-hal-science-search,French Public Universities,741,43475,True,measured,정상(측정됨)
gov-uk-search,영국완료,862,42435,True,measured,정상(측정됨)
data-nasa-gov-dataset,American Research Institutes,4474,35964,True,measured,정상(측정됨)
doaj-org-search,Irish Research Centers,1417,35582,True,measured,정상(측정됨)
nasa-gov-2025-news-releases,American Research Institutes,236,35278,True,measured,정상(측정됨)
ec-lyon-hal-science-search,French Public Universities,222,32877,True,measured,정상(측정됨)
cnam-hal-science-search,French Public Institutions,975,32221,True,measured,정상(측정됨)
cnam-hal-science-ceet,French Research Institutes,279,32221,True,measured,정상(측정됨)
nemertes-library-upatras-gr-search,Greece Research Centers,500,31267,True,measured,정상(측정됨)
nemertes-library-upatras-gr-browse,Greece Research Centers,127,31267,True,measured,정상(측정됨)
esteri-it-it,Italy Ministries,5533,25207,True,measured,정상(측정됨)
dtic-dimensions-ai-discover,American Research Institutes,500,25000,True,measured,정상(측정됨)
repo-lib-duth-gr-jspui,Greece Research Centers,7156,22040,True,measured,정상(측정됨)
cora-ucc-ie-search,Irish Research Centers,439,18130,True,measured,정상(측정됨)
edx-netl-doe-gov-group,American Research Institutes,100,17984,True,measured,정상(측정됨)
envt-hal-science-search,French Public Universities,1063,17091,True,measured,정상(측정됨)
edoc-rki-de-handle,GER ResearchCenters(Unfinished),20,14052,True,measured,정상(측정됨)
researchrepository-ul-ie-search,Irish Research Centers,400,13970,True,measured,정상(측정됨)
julkaisut-valtioneuvosto-fi-search,핀란드완료,293,13781,True,measured,정상(측정됨)
espci-hal-science-search,French Public Universities,22,12333,True,measured,정상(측정됨)
helios-eie-gr-helios,Greece Research Centers,500,11234,True,measured,정상(측정됨)
dspace-emu-ee-search,Estonia Research Centers,500,10421,True,measured,정상(측정됨)
federalregister-gov-documents,USA Executive Departments,5957,10000,True,measured,정상(측정됨)
isae-ensma-hal-science-search,French Public Universities,14,9836,True,measured,정상(측정됨)
catalog-data-metro-tokyo-lg-jp-dataset,일본완료,492,9647,True,measured,정상(측정됨)
icp-hal-science-search,French Public Institutions,220,9325,True,measured,정상(측정됨)
prism-go-kr-homepage,한국완료,2900,9301,False,count_lowerbound,"느림(상한걸림,하한값)"
ineris-hal-science-search,French Research Institutes,2234,8889,True,measured,정상(측정됨)
bfs-admin-ch-bfs,Switzerland Departments,384,8141,True,measured,정상(측정됨)
enscp-hal-science-search,French Public Institutions,3517,8006,True,measured,정상(측정됨)
migration-gov-gr-press,Greece Ministries,1618,7770,True,measured,정상(측정됨)
imt-nord-europe-hal-science-search,French Public Universities,61,7266,True,measured,정상(측정됨)
gov-scot-statistics-and-resea,영국완료,353,6001,True,measured,정상(측정됨)
pubs-drdc-rddc-gc-ca-basis,Canadian Research Centers,4040,4966,True,count_exact,정상(count됨)
hec-hal-science-search,French Public Universities,313,4829,True,measured,정상(측정됨)
mindev-gov-gr-category,Greece Ministries,3514,4756,True,measured,정상(측정됨)
open-science-canada-ca-communities,Canadian Research Centers,272,4400,True,measured,정상(측정됨)
sonar-ch-global,Switzerland Research Centers,5462,4039,False,count_lowerbound,"느림(상한걸림,하한값)"
enc-hal-science-search,French Public Universities,509,3889,True,measured,정상(측정됨)
doras-dcu-ie-view,Irish Research Centers,2229,3683,True,count_exact,정상(count됨)
enac-hal-science-search,French Public Universities,549,3613,True,measured,정상(측정됨)
bmv-de-en,독일완료,11,3584,True,measured,정상(측정됨)
wodc-nl-documenten,Dutch Research Centers,2,3527,True,measured,정상(측정됨)
drugsandalcohol-ie-cgi,Irish Research Centers,500,3471,False,count_lowerbound,"느림(상한걸림,하한값)"
adaptcentre-ie-research,Irish Research Centers,206,3402,True,measured,정상(측정됨)
news-fnal-gov-category,American Research Institutes,374,3286,True,measured,정상(측정됨)
datos-gob-cl-dataset,Chile Research Centers,21,3179,True,measured,정상(측정됨)
research-thea-ie-browse,Irish Research Centers,449,3103,True,measured,정상(측정됨)
data-busan-go-kr-bdip,한국완료,2022,2919,True,count_exact,정상(count됨)
daten-berlin-de-datensaetze,독일완료,250,2619,True,measured,정상(측정됨)
insight-centre-org-press-releases,Irish Research Centers,54,2560,True,measured,정상(측정됨)
avoindata-suomi-fi-data,핀란드완료,154,2555,True,measured,정상(측정됨)
kmi-re-kr-web,한국완료,445,2348,True,measured,정상(측정됨)
llnl-gov-news,American Research Institutes,3537,2321,False,count_lowerbound,"느림(상한걸림,하한값)"
ministeroturismo-gov-it-category,Italy Ministries,1014,2266,True,measured,정상(측정됨)
ga-gov-au-data-pubs,호주완료,2243,2241,True,count_exact,정상(count됨)
state-gov-press-releases,USA Executive Departments,30,2192,True,measured,정상(측정됨)
hud-govt-nz-stats-and-insights,뉴질랜드완료,1334,2088,True,count_exact,정상(count됨)
repository-cern-search,Switzerland Research Centers,500,2051,False,count_lowerbound,"느림(상한걸림,하한값)"
newsreleases-sandia-gov-archives-by-year,American Research Institutes,2044,2046,True,measured,정상(측정됨)
pasteur-fr-en,French Research Institutes,314,2036,True,measured,정상(측정됨)
icn-hal-science-search,French Public Universities,133,1748,True,measured,정상(측정됨)
reports-nlr-nl-collections,Dutch Research Centers,18,1724,True,measured,정상(측정됨)
stami-no-en,Norway Research Centers,337,1661,True,measured,정상(측정됨)
cmi-no-publications,Norway Research Centers,346,1657,True,measured,정상(측정됨)
jsearch-mwr-gov-cn-irs-c-web,중국 완료,2499,1591,False,count_lowerbound,"느림(상한걸림,하한값)"
issnationallab-org-about,American Research Institutes,82,1586,True,measured,정상(측정됨)
issnationallab-org-press-releases,American Research Institutes,561,1586,True,measured,정상(측정됨)
meteoswiss-admin-ch-services-and-publica,Switzerland Research Centers,440,1574,True,measured,정상(측정됨)
knowledge-barnardos-ie-browse,Irish Research Centers,365,1375,True,measured,정상(측정됨)
par-nsf-gov-search,American Research Institutes,2481,1370,False,count_lowerbound,"느림(상한걸림,하한값)"
oig-treasury-gov-other-reports-testim,USA Executive Departments,1353,1354,True,count_exact,정상(count됨)
cigionline-org-publications,Canadian Research Centers,500,1306,True,count_exact,정상(count됨)
nrscotland-gov-uk-publications,영국완료,359,1275,True,measured,정상(측정됨)
jic-ac-uk-news-events,영국완료,1138,1139,True,measured,정상(측정됨)
ehesp-fr-espace-presse,French Public Universities,127,1088,True,measured,정상(측정됨)
fhi-no-en,Norway Research Centers,255,1000,True,measured,정상(측정됨)
enssib-hal-science-search,French Public Universities,12,992,True,measured,정상(측정됨)
education-ni-gov-uk-news,영국완료,503,950,True,measured,정상(측정됨)
canada-ca-en,Canada Ministries,948,949,True,measured,정상(측정됨)
salute-gov-it-new,Italy Ministries,202,890,True,measured,정상(측정됨)
culture-gouv-fr-espace-documentation,France Ministries,304,862,True,measured,정상(측정됨)
accc-gov-au-about-us,호주완료,502,836,True,measured,정상(측정됨)
rdr-kuleuven-be-dataverse,벨기에완료,418,824,True,measured,정상(측정됨)
hrb-ie-publications,Irish Research Centers,187,819,True,measured,정상(측정됨)
defense-gouv-fr-salle-de-presse,France Ministries,1980,809,False,count_lowerbound,"느림(상한걸림,하한값)"
ecat-ga-gov-au-geonetwork,호주완료,796,797,True,count_exact,정상(count됨)
knmi-nl-kennis-en-datacentru,Dutch Research Centers,388,796,True,measured,정상(측정됨)
waltoninstitute-ie-research,Irish Research Centers,566,788,True,measured,정상(측정됨)
dair-dias-ie-cgi,Irish Research Centers,500,756,True,count_exact,정상(count됨)
krihs-re-kr-krihslibraryarticle,한국완료,744,744,True,count_exact,정상(count됨)
homeaffairs-gov-au-sitesearch,호주완료,1308,700,False,count_lowerbound,"느림(상한걸림,하한값)"
go-griffith-ie-browse,Irish Research Centers,1111,662,True,measured,정상(측정됨)
differ-nl-publications,Dutch Research Centers,198,642,True,measured,정상(측정됨)
efd-admin-ch-en,Switzerland Departments,500,642,False,count_lowerbound,"느림(상한걸림,하한값)"
ypes-gr-category,Greece Ministries,987,634,False,count_lowerbound,"느림(상한걸림,하한값)"
publichealthscotland-scot-publications,영국완료,373,626,True,measured,정상(측정됨)
mentalhealthcommission-ca-resources,Canadian Research Centers,589,616,True,measured,정상(측정됨)
iisd-org-press,Canadian Research Centers,342,601,True,measured,정상(측정됨)
policyalternatives-ca-news-research,Canadian Research Centers,1543,593,False,count_lowerbound,"느림(상한걸림,하한값)"
krivet-re-kr,한국완료,1,586,False,count_lowerbound,"느림(상한걸림,하한값)"
presse-economie-gouv-fr,France Ministries,1206,578,False,count_lowerbound,"느림(상한걸림,하한값)"
ukdataservice-ac-uk-2026,영국완료,549,560,True,measured,정상(측정됨)
pnnl-gov-news,American Research Institutes,322,547,True,measured,정상(측정됨)
home-cern-news,Switzerland Research Centers,809,539,False,count_lowerbound,"느림(상한걸림,하한값)"
sejong-go-kr-bbs,한국완료,500,530,False,count_lowerbound,"느림(상한걸림,하한값)"
scourt-go-kr-portal,한국완료,982,526,False,count_lowerbound,"느림(상한걸림,하한값)"
book-ioj-go-kr-library,한국완료,500,512,False,count_lowerbound,"느림(상한걸림,하한값)"
krihs-re-kr-boardes,한국완료,600,512,False,count_lowerbound,"느림(상한걸림,하한값)"
dpmc-govt-nz-publications,뉴질랜드완료,571,505,False,count_lowerbound,"느림(상한걸림,하한값)"
defense-gov-news,USA Executive Departments,546,500,True,count_exact,정상(count됨)
kisdi-re-kr-report,한국완료,501,495,False,count_lowerbound,"느림(상한걸림,하한값)"
minrel-gob-cl-minrel,Chile Ministries,4547,490,False,count_lowerbound,"느림(상한걸림,하한값)"
bnf-fr-fr,French Public Institutions,488,488,True,count_exact,정상(count됨)
skillsdevelopmentscotland-co-uk-publications-statist,영국완료,488,487,True,count_exact,정상(count됨)
stepi-re-kr-site,한국완료,570,486,False,count_lowerbound,"느림(상한걸림,하한값)"
gnews-gg-go-kr-briefing,한국완료,500,471,False,count_lowerbound,"느림(상한걸림,하한값)"
caissedesdepots-fr-communiques-de-press,French Public Institutions,1201,471,False,count_lowerbound,"느림(상한걸림,하한값)"
mi-se-arkiv,스웨덴 완료,632,469,True,measured,정상(측정됨)
biorbic-com-publications,Irish Research Centers,497,467,True,count_exact,정상(count됨)
nistdigitalarchives-contentdm-oclc-org-digital,American Research Institutes,788,460,False,count_lowerbound,"느림(상한걸림,하한값)"
wef-infor-cl-indexphp,Chile Ministries,448,453,True,count_exact,정상(count됨)
krivet-re-kr-kor,한국완료,500,449,False,count_lowerbound,"느림(상한걸림,하한값)"
cirad-fr-espace-presse,French Research Institutes,360,446,True,measured,정상(측정됨)
bok-or-kr-portal,한국완료,430,445,False,count_lowerbound,"느림(상한걸림,하한값)"
info-korail-com-info,한국완료,565,445,False,count_lowerbound,"느림(상한걸림,하한값)"
kihasa-re-kr-news,한국완료,615,434,False,count_lowerbound,"느림(상한걸림,하한값)"
moef-go-kr-nw,한국완료,683,433,False,count_lowerbound,"느림(상한걸림,하한값)"
transformation-gouv-fr-espace-presse,France Ministries,211,428,True,measured,정상(측정됨)
kmcc-go-kr-userdo,한국완료,666,412,False,count_lowerbound,"느림(상한걸림,하한값)"
kli-re-kr-kli,한국완료,500,403,False,count_lowerbound,"느림(상한걸림,하한값)"
mpva-go-kr-mpva,한국완료,590,402,False,count_lowerbound,"느림(상한걸림,하한값)"
ameslab-gov-news,American Research Institutes,394,396,True,count_exact,정상(count됨)
kb-se-om-oss,스웨덴 완료,80,395,True,measured,정상(측정됨)
gri-re-kr-web,한국완료,516,395,False,count_lowerbound,"느림(상한걸림,하한값)"
mss-go-kr-site,한국완료,500,391,False,count_lowerbound,"느림(상한걸림,하한값)"
kiep-go-kr-galleryes,한국완료,437,388,False,count_lowerbound,"느림(상한걸림,하한값)"
ed-gov-about,USA Executive Departments,224,387,True,measured,정상(측정됨)
drc-gov-cn-leafaspx,중국 완료,555,387,False,count_lowerbound,"느림(상한걸림,하한값)"
wti-org-research,Switzerland Research Centers,303,386,True,measured,정상(측정됨)
kepco-co-kr-home,한국완료,400,381,False,count_lowerbound,"느림(상한걸림,하한값)"
msit-go-kr-bbs,한국완료,488,374,False,count_lowerbound,"느림(상한걸림,하한값)"
ftc-go-kr-www,한국완료,694,372,False,count_lowerbound,"느림(상한걸림,하한값)"
comwel-or-kr-comwel,한국완료,471,372,False,count_lowerbound,"느림(상한걸림,하한값)"
rda-go-kr-board,한국완료,1020,372,False,count_lowerbound,"느림(상한걸림,하한값)"
academie-sciences-fr-espace-presse,French Public Institutions,68,370,True,measured,정상(측정됨)
police-go-kr-user,한국완료,747,365,False,count_lowerbound,"느림(상한걸림,하한값)"
repository-naturalis-nl,Dutch Research Centers,9681,364,False,count_lowerbound,"느림(상한걸림,하한값)"
nofima-com-publication,Norway Research Centers,200,359,True,measured,정상(측정됨)
ir-cwi-nl,Dutch Research Centers,592,358,False,count_lowerbound,"느림(상한걸림,하한값)"
justice-gov-news,USA Executive Departments,741,355,False,count_lowerbound,"느림(상한걸림,하한값)"
ir-arcnl-nl,Dutch Research Centers,452,353,False,count_lowerbound,"느림(상한걸림,하한값)"
cre-fr-documents,French Public Institutions,27,351,True,measured,정상(측정됨)
kdca-go-kr-kdca,한국완료,846,350,False,count_lowerbound,"느림(상한걸림,하한값)"
hea-ie-resources,Irish Research Centers,221,347,True,measured,정상(측정됨)
research-imt-nord-europe-fr-news,French Public Universities,56,347,True,measured,정상(측정됨)
kinfa-or-kr-notificationpromotio,한국완료,732,345,False,count_lowerbound,"느림(상한걸림,하한값)"
moe-go-kr-boardcnts,한국완료,1250,345,False,count_lowerbound,"느림(상한걸림,하한값)"
masaf-gov-it-flex,Italy Ministries,601,341,False,count_lowerbound,"느림(상한걸림,하한값)"
motir-go-kr-kor,한국완료,703,340,False,count_lowerbound,"느림(상한걸림,하한값)"
incheon-go-kr-ic010205,한국완료,1328,340,False,count_lowerbound,"느림(상한걸림,하한값)"
naacc-go-kr-web,한국완료,334,338,True,count_exact,정상(count됨)
mindigital-gr-archives,Greece Ministries,675,338,False,count_lowerbound,"느림(상한걸림,하한값)"
pubs-usgs-gov,American Research Institutes,10,333,False,count_lowerbound,"느림(상한걸림,하한값)"
datacatalogue-adruk-org-browser,영국완료,484,333,False,count_lowerbound,"느림(상한걸림,하한값)"
kasa-go-kr-bbs,한국완료,331,331,True,count_exact,정상(count됨)
chungnam-go-kr-cnportal,한국완료,425,328,False,count_lowerbound,"느림(상한걸림,하한값)"
daejeon-go-kr-drh,한국완료,473,326,False,count_lowerbound,"느림(상한걸림,하한값)"
state-gwd-go-kr-portal,한국완료,614,326,False,count_lowerbound,"느림(상한걸림,하한값)"
app-mps-gov-cn-gdnps,중국 완료,501,320,False,count_lowerbound,"느림(상한걸림,하한값)"
kice-re-kr-boardcnts,한국완료,500,317,False,count_lowerbound,"느림(상한걸림,하한값)"
rigsrevisionen-dk-revisionssager,덴마크완료,590,316,False,count_lowerbound,"느림(상한걸림,하한값)"
lecese-fr-espace-presse,French Public Institutions,500,315,False,count_lowerbound,"느림(상한걸림,하한값)"
mohw-go-kr-boardes,한국완료,920,311,False,count_lowerbound,"느림(상한걸림,하한값)"
english-cnipa-gov-cn-col,중국 완료,353,311,False,count_lowerbound,"느림(상한걸림,하한값)"
mma-go-kr-board,한국완료,616,308,False,count_lowerbound,"느림(상한걸림,하한값)"
arcom-fr-presse,French Public Institutions,290,307,True,measured,정상(측정됨)
brsn-net-list,중국 완료,500,305,False,count_lowerbound,"느림(상한걸림,하한값)"
en-nim-ac-cn-taxonomy,중국 완료,303,303,True,count_exact,정상(count됨)
nypi-re-kr,한국완료,3,298,False,count_lowerbound,"느림(상한걸림,하한값)"
gb-go-kr-sub,한국완료,406,297,False,count_lowerbound,"느림(상한걸림,하한값)"
sm-dk-publikationer,덴마크완료,354,297,False,count_lowerbound,"느림(상한걸림,하한값)"
fss-or-kr-fss,한국완료,500,297,False,count_lowerbound,"느림(상한걸림,하한값)"
mod-mil-gr-category,Greece Ministries,470,292,False,count_lowerbound,"느림(상한걸림,하한값)"
pps-go-kr-kor,한국완료,290,291,True,count_exact,정상(count됨)
repository-library-noaa-gov-view,American Research Institutes,812,290,False,count_lowerbound,"느림(상한걸림,하한값)"
kipo-go-kr-ko,한국완료,500,289,False,count_lowerbound,"느림(상한걸림,하한값)"
civilprotection-gov-gr-deltia-tupou,Greece Ministries,500,286,False,count_lowerbound,"느림(상한걸림,하한값)"
mofa-go-kr-www,한국완료,521,285,False,count_lowerbound,"느림(상한걸림,하한값)"
ons-gov-uk-search,영국완료,516,285,False,count_lowerbound,"느림(상한걸림,하한값)"
kipf-re-kr-bbs,한국완료,352,285,False,count_lowerbound,"느림(상한걸림,하한값)"
english-www-gov-cn-archive,중국 완료,506,284,False,count_lowerbound,"느림(상한걸림,하한값)"
info-daegu-go-kr-newshome,한국완료,490,283,False,count_lowerbound,"느림(상한걸림,하한값)"
seco-admin-ch-seco,Switzerland Departments,479,281,True,count_exact,정상(count됨)
kisdi-re-kr-bbs,한국완료,502,278,False,count_lowerbound,"느림(상한걸림,하한값)"
gi-re-kr-home,한국완료,452,277,False,count_lowerbound,"느림(상한걸림,하한값)"
jeju-go-kr-news,한국완료,1087,277,False,count_lowerbound,"느림(상한걸림,하한값)"
afp-gov-au-news-centre,호주완료,432,275,False,count_lowerbound,"느림(상한걸림,하한값)"
digital-gob-es-comunicacion,Spain Ministries,416,273,False,count_lowerbound,"느림(상한걸림,하한값)"
bmluk-gv-at-service,오스트리아완료,315,272,True,count_exact,정상(count됨)
kwdi-re-kr-publications,한국완료,500,267,False,count_lowerbound,"느림(상한걸림,하한값)"
sm-ee-otsing,Estonia Ministries,158,267,False,count_lowerbound,"느림(상한걸림,하한값)"
auri-re-kr-boardes,한국완료,260,267,True,count_exact,정상(count됨)
dhs-gov-congressional-approp,USA Executive Departments,638,265,False,count_lowerbound,"느림(상한걸림,하한값)"
busan-go-kr-nbtnewsbu,한국완료,537,265,False,count_lowerbound,"느림(상한걸림,하한값)"
ntp-niehs-nih-gov-publications,American Research Institutes,536,261,False,count_lowerbound,"느림(상한걸림,하한값)"
treasury-gov-au-publication,호주완료,651,259,False,count_lowerbound,"느림(상한걸림,하한값)"
moj-go-kr-moj,한국완료,793,259,False,count_lowerbound,"느림(상한걸림,하한값)"
kna-forest-go-kr-kfsweb,한국완료,372,257,False,count_lowerbound,"느림(상한걸림,하한값)"
ruomoplus-lib-uom-gr-simple-search,Greece Research Centers,500,256,False,count_lowerbound,"느림(상한걸림,하한값)"
moleg-go-kr-boardes,한국완료,256,256,True,count_exact,정상(count됨)
osr-statisticsauthority-gov-uk-publications-list,영국완료,257,255,True,measured,정상(측정됨)
economy-ni-gov-uk-publications,영국완료,583,255,False,count_lowerbound,"느림(상한걸림,하한값)"
sastind-gov-cn-n10086200,중국 완료,474,255,False,count_lowerbound,"느림(상한걸림,하한값)"
opm-go-kr-opm,한국완료,660,251,False,count_lowerbound,"느림(상한걸림,하한값)"
ii-re-kr-base,한국완료,287,250,False,count_lowerbound,"느림(상한걸림,하한값)"
defence-govt-nz-publications,뉴질랜드완료,431,250,False,count_lowerbound,"느림(상한걸림,하한값)"
