site_id,health,evidence,detail
education-govt-nz-search,blocked,probe counted=0,차단 신호(403/429/CF challenge 등) — 사이트가 봇 차단 중
justice-govt-nz-publications,blocked,probe counted=0,차단 신호(403/429/CF challenge 등) — 사이트가 봇 차단 중
mpi-govt-nz-resources-and-forms,blocked,probe counted=0,차단 신호(403/429/CF challenge 등) — 사이트가 봇 차단 중
nkvts-no-english,blocked,probe counted=0,차단 신호(403/429/CF challenge 등) — 사이트가 봇 차단 중
phfscience-nz-digital-library,blocked,probe counted=0,차단 신호(403/429/CF challenge 등) — 사이트가 봇 차단 중
pmc-gov-au-resources,blocked,probe counted=0,차단 신호(403/429/CF challenge 등) — 사이트가 봇 차단 중
stats-govt-nz-publications,blocked,probe counted=0,차단 신호(403/429/CF challenge 등) — 사이트가 봇 차단 중
transparency-gov-au-publications,blocked,probe counted=0,차단 신호(403/429/CF challenge 등) — 사이트가 봇 차단 중
dapa-go-kr-dapa,blocked_or_dead,probe counted=0,수리 시도했으나 인프라 차단/폐쇄 (CRAWLER_REPAIR_20260805.md)
data-gov-be-nl,blocked_or_dead,probe counted=0,수리 시도했으나 인프라 차단/폐쇄 (CRAWLER_REPAIR_20260805.md)
doc-cerema-fr-default,blocked_or_dead,probe counted=0,수리 시도했으나 인프라 차단/폐쇄 (CRAWLER_REPAIR_20260805.md)
en-iwhr-cn-iwhr-english-new,blocked_or_dead,probe counted=0,수리 시도했으나 인프라 차단/폐쇄 (CRAWLER_REPAIR_20260805.md)
gsi-ie-en-ie,blocked_or_dead,probe counted=0,수리 시도했으나 인프라 차단/폐쇄 (CRAWLER_REPAIR_20260805.md)
info-daegu-go-kr-newshome,blocked_or_dead,probe counted=0,수리 시도했으나 인프라 차단/폐쇄 (CRAWLER_REPAIR_20260805.md)
iwhr-com-zgskywwnew,blocked_or_dead,probe counted=0,수리 시도했으나 인프라 차단/폐쇄 (CRAWLER_REPAIR_20260805.md)
jeonnam-go-kr-m7116,blocked_or_dead,probe counted=0,수리 시도했으나 인프라 차단/폐쇄 (CRAWLER_REPAIR_20260805.md)
minfin-gov-gr-grafeio-typou,blocked_or_dead,probe counted=0,수리 시도했으나 인프라 차단/폐쇄 (CRAWLER_REPAIR_20260805.md)
minscfa-gov-gr-grafeio-typou,blocked_or_dead,probe counted=0,수리 시도했으나 인프라 차단/폐쇄 (CRAWLER_REPAIR_20260805.md)
nidcd-nih-gov-news,blocked_or_dead,probe counted=0,수리 시도했으나 인프라 차단/폐쇄 (CRAWLER_REPAIR_20260805.md)
nih-gov-news-events,blocked_or_dead,probe counted=0,수리 시도했으나 인프라 차단/폐쇄 (CRAWLER_REPAIR_20260805.md)
nih-gov-press-room,blocked_or_dead,probe counted=0,수리 시도했으나 인프라 차단/폐쇄 (CRAWLER_REPAIR_20260805.md)
om-mp-be-nl,blocked_or_dead,probe counted=0,수리 시도했으나 인프라 차단/폐쇄 (CRAWLER_REPAIR_20260805.md)
opendatacommunities-org-data,blocked_or_dead,probe counted=0,수리 시도했으나 인프라 차단/폐쇄 (CRAWLER_REPAIR_20260805.md)
regjeringen-no-en,blocked_or_dead,probe counted=0,수리 시도했으나 인프라 차단/폐쇄 (CRAWLER_REPAIR_20260805.md)
ypergasias-gov-gr-category,blocked_or_dead,probe counted=0,수리 시도했으나 인프라 차단/폐쇄 (CRAWLER_REPAIR_20260805.md)
chineseafs-org-ckynewsmgr,net_fail,probe counted=0,네트워크/접속 실패(타임아웃·SSL·연결거부)
mnd-go-kr-user,net_fail,probe counted=0,네트워크/접속 실패(타임아웃·SSL·연결거부)
olympias-lib-uoi-gr-jspui,net_fail,probe counted=0,네트워크/접속 실패(타임아웃·SSL·연결거부)
repositorio-uchile-cl-discover,net_fail,probe counted=0,네트워크/접속 실패(타임아웃·SSL·연결거부)
datos-gob-mx-agricultura,no_crawler,-,"크롤러 미제작(D, datos-gob-mx 계열 등)"
datos-gob-mx-cultura,no_crawler,-,"크롤러 미제작(D, datos-gob-mx 계열 등)"
datos-gob-mx-presupuesto,no_crawler,-,"크롤러 미제작(D, datos-gob-mx 계열 등)"
datos-gob-mx-secretaria-salud,no_crawler,-,"크롤러 미제작(D, datos-gob-mx 계열 등)"
datos-gob-mx-secretaria-trabajo,no_crawler,-,"크롤러 미제작(D, datos-gob-mx 계열 등)"
datos-gob-mx-seguridad,no_crawler,-,"크롤러 미제작(D, datos-gob-mx 계열 등)"
datos-gob-mx-territorio,no_crawler,-,"크롤러 미제작(D, datos-gob-mx 계열 등)"
datos-gob-mx-turismo,no_crawler,-,"크롤러 미제작(D, datos-gob-mx 계열 등)"
gob-mx-agricultura,no_crawler,-,"크롤러 미제작(D, datos-gob-mx 계열 등)"
gob-mx-bienestar,no_crawler,-,"크롤러 미제작(D, datos-gob-mx 계열 등)"
gob-mx-buengobierno,no_crawler,-,"크롤러 미제작(D, datos-gob-mx 계열 등)"
gob-mx-defensa,no_crawler,-,"크롤러 미제작(D, datos-gob-mx 계열 등)"
gob-mx-mujeres,no_crawler,-,"크롤러 미제작(D, datos-gob-mx 계열 등)"
gob-mx-salud,no_crawler,-,"크롤러 미제작(D, datos-gob-mx 계열 등)"
gob-mx-se,no_crawler,-,"크롤러 미제작(D, datos-gob-mx 계열 등)"
gob-mx-sectur,no_crawler,-,"크롤러 미제작(D, datos-gob-mx 계열 등)"
gob-mx-sedatu,no_crawler,-,"크롤러 미제작(D, datos-gob-mx 계열 등)"
gob-mx-segob,no_crawler,-,"크롤러 미제작(D, datos-gob-mx 계열 등)"
gob-mx-semar,no_crawler,-,"크롤러 미제작(D, datos-gob-mx 계열 등)"
gob-mx-semarnat,no_crawler,-,"크롤러 미제작(D, datos-gob-mx 계열 등)"
gob-mx-sep,no_crawler,-,"크롤러 미제작(D, datos-gob-mx 계열 등)"
gob-mx-shcp,no_crawler,-,"크롤러 미제작(D, datos-gob-mx 계열 등)"
gob-mx-sict,no_crawler,-,"크롤러 미제작(D, datos-gob-mx 계열 등)"
gob-mx-sre,no_crawler,-,"크롤러 미제작(D, datos-gob-mx 계열 등)"
gob-mx-sspc,no_crawler,-,"크롤러 미제작(D, datos-gob-mx 계열 등)"
gob-mx-stps,no_crawler,-,"크롤러 미제작(D, datos-gob-mx 계열 등)"
accc-gov-au-about-us,ok,probe counted=3,지금 fetch+파싱 정상
accc-gov-au-search,ok,sweep_2026-08-04 counted>=3,전수측정에서 실수집 확인
acma-gov-au-publications,ok,sweep_2026-08-04 counted>=3,전수측정에서 실수집 확인
acpr-banque-france-fr-fr,ok,sweep_2026-08-04 counted>=3,전수측정에서 실수집 확인
adaptcentre-ie-research,ok,probe counted=3,지금 fetch+파싱 정상
adruk-org-news-publications,ok,sweep_2026-08-04 counted>=3,전수측정에서 실수집 확인
afd-fr-fr,ok,sweep_2026-08-04 counted>=3,전수측정에서 실수집 확인
afp-gov-au-news-centre,ok,sweep_2026-08-04 counted>=3,전수측정에서 실수집 확인
afp-gov-au-search,ok,probe counted=1,지금 fetch+파싱 정상
africamuseum-be-en,ok,sweep_2026-08-04 counted>=3,전수측정에서 실수집 확인
ag-gov-au-publications,ok,sweep_2026-08-04 counted>=3,전수측정에서 실수집 확인
agri-ee-ministeerium-uudised,ok,sweep_2026-08-04 counted>=3,전수측정에서 실수집 확인
agriculture-gouv-fr-recherche-developpem,ok,sweep_2026-08-04 counted>=3,전수측정에서 실수집 확인
alrc-gov-au-publications,ok,sweep_2026-08-04 counted>=3,전수측정에서 실수집 확인
ameslab-gov-news,ok,sweep_2026-08-04 counted>=3,전수측정에서 실수집 확인
amf-france-org-fr,ok,sweep_2026-08-04 counted>=3,전수측정에서 실수집 확인
ami-swiss-en,ok,sweep_2026-08-04 counted>=3,전수측정에서 실수집 확인
amolf-nl-publications,ok,sweep_2026-08-04 counted>=3,전수측정에서 실수집 확인
amu-hal-science-search,ok,probe counted=3,지금 fetch+파싱 정상
