site_id,sheet,collected,counted,server_total,completed,elapsed_s,method,note,health
datos-gob-mx-agricultura,Mexico Ministries,85,0,,True,0,no_crawler,,no_crawler
datos-gob-mx-cultura,Mexico Ministries,114,0,,True,0,no_crawler,,no_crawler
datos-gob-mx-presupuesto,Mexico Ministries,108,0,,True,0,no_crawler,,no_crawler
datos-gob-mx-secretaria-salud,Mexico Ministries,9,0,,True,0,no_crawler,,no_crawler
datos-gob-mx-secretaria-trabajo,Mexico Ministries,16,0,,True,0,no_crawler,,no_crawler
datos-gob-mx-seguridad,Mexico Ministries,27,0,,True,0,no_crawler,,no_crawler
datos-gob-mx-territorio,Mexico Ministries,16,0,,True,0,no_crawler,,no_crawler
datos-gob-mx-turismo,Mexico Ministries,4,0,,True,0,no_crawler,,no_crawler
gob-mx-agricultura,Mexico Ministries,729,0,,True,0,no_crawler,,no_crawler
gob-mx-bienestar,Mexico Ministries,729,0,,True,0,no_crawler,,no_crawler
gob-mx-buengobierno,Mexico Ministries,771,0,,True,0,no_crawler,,no_crawler
gob-mx-defensa,Mexico Ministries,756,0,,True,0,no_crawler,,no_crawler
gob-mx-mujeres,Mexico Ministries,270,0,,True,0,no_crawler,,no_crawler
gob-mx-salud,Mexico Ministries,765,0,,True,0,no_crawler,,no_crawler
gob-mx-se,Mexico Ministries,762,0,,True,0,no_crawler,,no_crawler
gob-mx-sectur,Mexico Ministries,765,0,,True,0,no_crawler,,no_crawler
gob-mx-sedatu,Mexico Ministries,756,0,,True,0,no_crawler,,no_crawler
gob-mx-segob,Mexico Ministries,747,0,,True,0,no_crawler,,no_crawler
gob-mx-semar,Mexico Ministries,783,0,,True,0,no_crawler,,no_crawler
gob-mx-semarnat,Mexico Ministries,774,0,,True,0,no_crawler,,no_crawler
gob-mx-sep,Mexico Ministries,774,0,,True,0,no_crawler,,no_crawler
gob-mx-shcp,Mexico Ministries,762,0,,True,0,no_crawler,,no_crawler
gob-mx-sict,Mexico Ministries,747,0,,True,0,no_crawler,,no_crawler
gob-mx-sre,Mexico Ministries,774,0,,True,0,no_crawler,,no_crawler
gob-mx-sspc,Mexico Ministries,773,0,,True,0,no_crawler,,no_crawler
gob-mx-stps,Mexico Ministries,748,0,,True,0,no_crawler,,no_crawler
afp-gov-au-news-centre,호주완료,432,3,0,True,2.9,count_crawl,probe_limit:3,ok
acma-gov-au-publications,호주완료,316,3,0,True,4.8,count_crawl,probe_limit:3,ok
afp-gov-au-search,호주완료,49,1,0,True,7.5,count_crawl,probe_limit:3,ok
afd-fr-fr,French Public Institutions,797,3,0,True,8.6,count_crawl,probe_limit:3,ok
adaptcentre-ie-research,Irish Research Centers,206,3,0,True,9.4,count_crawl,probe_limit:3,ok
adruk-org-news-publications,영국완료,210,3,0,True,9.4,count_crawl,probe_limit:3,ok
ag-gov-au-publications,호주완료,607,3,0,True,5.8,count_crawl,probe_limit:3,ok
acpr-banque-france-fr-fr,French Public Institutions,225,3,0,True,11.9,count_crawl,probe_limit:3,ok
ameslab-gov-news,American Research Institutes,394,3,0,True,2.3,count_crawl,probe_limit:3,ok
alrc-gov-au-publications,호주완료,116,3,0,True,3.6,count_crawl,probe_limit:3,ok
agriculture-gouv-fr-recherche-developpem,France Ministries,472,3,0,True,7.1,count_crawl,probe_limit:3,ok
accc-gov-au-about-us,호주완료,502,3,0,True,17.2,count_crawl,probe_limit:3,ok
africamuseum-be-en,벨기에완료,52,3,0,True,14.2,count_crawl,probe_limit:3,ok
amolf-nl-publications,Dutch Research Centers,512,3,0,True,5.7,count_crawl,probe_limit:3,ok
amu-hal-science-search,French Public Universities,3048,3,81423,True,4.0,count_crawl,probe_limit:3,ok
andra-fr-publications,French Research Institutes,1,0,0,True,3.1,count_crawl,probe_limit:3,empty_zero_parse
amf-france-org-fr,French Public Institutions,157,3,0,True,10.7,count_crawl,probe_limit:3,ok
anr-hal-science-search,French Research Institutes,363,2,2965,True,3.2,count_crawl,probe_limit:3,ok
apra-gov-au-statistics,호주완료,75,0,0,True,1.6,count_crawl,probe_limit:3,empty_zero_parse
arcep-fr-actualites,French Public Institutions,34,0,0,True,2.9,count_crawl,probe_limit:3,empty_zero_parse
accc-gov-au-search,호주완료,454,3,0,True,25.9,count_crawl,probe_limit:3,ok
