site_id,sheet,collected,counted,server_total,completed,elapsed_s,method,note,health
anr-hal-science-search,French Research Institutes,363,3,2973,True,1.8,count_crawl,probe_limit:3,ok
apra-gov-au-statistics,호주완료,75,0,0,True,1.0,count_crawl,probe_limit:3,empty_zero_parse
accc-gov-au-about-us,호주완료,502,3,0,True,2.9,count_crawl,probe_limit:3,ok
andra-fr-publications,French Research Institutes,1,0,0,True,2.9,count_crawl,probe_limit:3,empty_zero_parse
amu-hal-science-search,French Public Universities,3048,3,81439,True,3.5,count_crawl,probe_limit:3,ok
arcep-fr-actualites,French Public Institutions,34,0,0,True,3.2,count_crawl,probe_limit:3,empty_zero_parse
artsetmetiers-hal-science-search,French Public Universities,86,3,85,True,3.0,count_crawl,probe_limit:3,ok
asiapacific-ca-media,Canadian Research Centers,50,3,0,True,4.4,count_crawl,probe_limit:3,ok
avoindata-suomi-fi-data,핀란드완료,154,3,0,True,4.3,count_crawl,probe_limit:3,ok
adaptcentre-ie-research,Irish Research Centers,206,3,0,True,10.6,count_crawl,probe_limit:3,ok
arrow-tudublin-ie-creaart,Irish Research Centers,229,3,0,True,8.9,count_crawl,probe_limit:3,ok
archives-nationales-culture-gouv-fr-presse,French Public Institutions,15,3,0,True,11.5,count_crawl,probe_limit:3,ok
arcom-fr-presse,French Public Institutions,290,3,0,True,12.0,count_crawl,probe_limit:3,ok
afp-gov-au-search,호주완료,49,1,0,True,13.3,count_crawl,probe_limit:3,ok
book-ioj-go-kr-library,한국완료,500,3,0,True,2.9,count_crawl,probe_limit:3,ok
bj-admin-ch-bj,Switzerland Departments,41,0,0,True,8.7,count_crawl,probe_limit:3,empty_zero_parse
bjerknes-uib-no-en,Norway Research Centers,214,3,0,True,6.9,count_crawl,probe_limit:3,ok
bm-dk-soeg,덴마크완료,88,3,1817,True,7.6,count_crawl,probe_limit:3,ok
bordbia-ie-about,Irish Research Centers,20,0,0,True,1.1,count_crawl,probe_limit:3,empty_zero_parse
bmbfsfj-bund-de-bmbfsfj,Germany Ministries,502,3,0,True,7.7,count_crawl,probe_limit:3,ok
cac-gov-cn-hdfw,중국 완료,89,3,0,True,2.2,count_crawl,probe_limit:3,ok
broadbentinstitute-ca-research,Canadian Research Centers,81,3,0,True,6.6,count_crawl,probe_limit:3,ok
canada-ca-en,Canada Ministries,948,3,0,True,5.0,count_crawl,probe_limit:3,ok
bra-se-english,스웨덴 완료,306,3,0,True,8.4,count_crawl,probe_limit:3,ok
catalog-data-metro-tokyo-lg-jp-dataset,일본완료,492,1,0,True,2.0,count_crawl,probe_limit:3,ok
canurb-org-publications,Canadian Research Centers,92,3,0,True,5.4,count_crawl,probe_limit:3,ok
cancer-fr-catalogue-des-public,French Public Institutions,12,3,0,True,11.3,count_crawl,probe_limit:3,ok
cea-hal-science-cnrgh,French Research Institutes,759,3,866,True,1.7,count_crawl,probe_limit:3,ok
cancer-fr-presse,French Public Institutions,110,3,0,True,11.2,count_crawl,probe_limit:3,ok
cds-cern-ch-collection,Switzerland Research Centers,505,3,110861,True,9.0,count_crawl,probe_limit:3,ok
cedelft-eu-reports,Dutch Research Centers,500,3,0,True,8.9,count_crawl,probe_limit:3,ok
chinatax-gov-cn-chinatax,중국 완료,6,3,32,True,5.0,count_crawl,probe_limit:3,ok
cigionline-org-publications,Canadian Research Centers,500,3,1328,True,2.3,count_crawl,probe_limit:3,ok
bundesfinanzministerium-de-web,Germany Ministries,112,0,0,True,27.1,count_crawl,probe_limit:3,empty_zero_parse
cerema-fr-fr,French Research Institutes,231,3,0,True,9.3,count_crawl,probe_limit:3,ok
chineseafs-org-ckynewsmgr,중국 완료,30,0,0,True,4.8,count_crawl,probe_limit:3,empty_zero_parse
climateinstitute-ca-newsroom,Canadian Research Centers,110,3,0,True,1.8,count_crawl,probe_limit:3,ok
cnam-hal-science-ceet,French Research Institutes,279,3,409,True,2.1,count_crawl,probe_limit:3,ok
