site_id,site_name,status,category,reason,collected
academie-sciences-fr-espace-presse,Custom: academie-sciences-fr-espace-presse,된다,,,68
accc-gov-au-about-us,Custom: accc-gov-au-about-us,된다,,,502
accc-gov-au-search,Custom: accc-gov-au-search,된다,,,454
acma-gov-au-publications,Australian Communications and Media Authority — Publications,된다,,,316
acpr-banque-france-fr-fr,Custom: acpr-banque-france-fr-fr,된다,,,225
adaptcentre-ie-research,Custom: adaptcentre-ie-research,된다,,,206
adruk-org-news-publications,Custom: adruk-org-news-publications,된다,,,210
afd-fr-fr,Custom: afd-fr-fr,된다,,,797
afp-gov-au-news-centre,Custom: afp-gov-au-news-centre,된다,,,432
afp-gov-au-search,Custom: afp-gov-au-search,된다,,,49
africamuseum-be-en,Custom: africamuseum-be-en,된다,,,52
ag-gov-au-publications,Attorney-General's Department — Publications,된다,,,607
agri-ee-ministeerium-uudised,Custom: agri-ee-ministeerium-uudised,된다,,,122
agriculture-gouv-fr-recherche-developpem,Custom: agriculture-gouv-fr-recherche-developpem,된다,,,472
alrc-gov-au-publications,Custom: alrc-gov-au-publications,된다,,,116
ameslab-gov-news,Custom: ameslab-gov-news,된다,,,394
amf-france-org-fr,Custom: amf-france-org-fr,된다,,,157
ami-swiss-en,Custom: ami-swiss-en,된다,,,558
amolf-nl-publications,Custom: amolf-nl-publications,된다,,,512
amu-hal-science-search,Custom: amu-hal-science-search,된다,,,3048
andra-fr-publications,Custom: andra-fr-publications,안된다,수리(코드),사이트는 정상응답인데 파싱 0 — 셀렉터/방식 코드 수리 필요,1
anr-hal-science-search,Custom: anr-hal-science-search,된다,,,363
anses-fr-fr,Custom: anses-fr-fr,된다,,,6091
ansto-gov-au-search,Custom: ansto-gov-au-search,된다,,,30
app-mps-gov-cn-gdnps,Custom: app-mps-gov-cn-gdnps,된다,,,501
apra-gov-au-statistics,Custom: apra-gov-au-statistics,된다,,,75
arcep-fr-actualites,Custom: arcep-fr-actualites,된다,,,34
archives-nationales-culture-gouv-fr-presse,Custom: archives-nationales-culture-gouv-fr-presse,된다,,,15
arcnl-nl-publications,Custom: arcnl-nl-publications,된다,,,11
arcom-fr-presse,Custom: arcom-fr-presse,된다,,,290
arn-se-om-arn,Custom: arn-se-om-arn,된다,,,80
arrow-tudublin-ie-creaart,Custom: arrow-tudublin-ie-creaart,된다,,,229
artsetmetiers-fr-fr,Custom: artsetmetiers-fr-fr,된다,,,222
artsetmetiers-hal-science-search,Custom: artsetmetiers-hal-science-search,된다,,,86
asiapacific-ca-media,Custom: asiapacific-ca-media,된다,,,50
asn-fr-information,Custom: asn-fr-information,된다,,,19
astro-oma-be-en,Custom: astro-oma-be-en,된다,,,22
astron-nl-about,Custom: astron-nl-about,된다,,,57
audencia-com-lecole,Custom: audencia-com-lecole,된다,,,246
auri-re-kr-boardes,Custom: auri-re-kr-boardes,된다,,,260
auri-re-kr-publication,Custom: auri-re-kr-publication,된다,,,593
auswaertiges-amt-de-de,Custom: auswaertiges-amt-de-de,된다,,,224
auswaertiges-amt-de-en,Custom: auswaertiges-amt-de-en,된다,,,526
avoindata-suomi-fi-data,Custom: avoindata-suomi-fi-data,된다,,,154
babraham-ac-uk-news,Custom: babraham-ac-uk-news,된다,,,483
bam-de-navigation,Custom: bam-de-navigation,된다,,,308
bankofcanada-ca-publications,Custom: bankofcanada-ca-publications,된다,,,27
banque-france-fr-en,Custom: banque-france-fr-en,된다,,,530
baw-de-en,Custom: baw-de-en,된다,,,14
bdap-opendata-rgs-mef-gov-it-catalog,Custom: bdap-opendata-rgs-mef-gov-it-catalog,된다,,,360
benthamscience-com-press-release,Custom: benthamscience-com-press-release,된다,,,191
bfe-admin-ch-bfe,Custom: bfe-admin-ch-bfe,된다,,,1002
bfr-bund-de-en,Custom: bfr-bund-de-en,된다,,,23
bfs-admin-ch-bfs,Custom: bfs-admin-ch-bfs,된다,,,384
