site_id,sheet,collected,source_total,method,confidence,endpoint_used,note
ameslab-gov-news,American Research Institutes,394,,unknown,,,www.ameslab.gov:not_json; www.ameslab.gov/news:not_json
accc-gov-au-search,호주완료,454,,unknown,,,www.accc.gov.au/search:not_json; www.accc.gov.au:not_json; www.accc.gov.au/search?query=pdf:not_json
alrc-gov-au-publications,호주완료,116,,unknown,,,www.alrc.gov.au:not_json; www.alrc.gov.au/publications/final-repor:not_json
agri-ee-ministeerium-uudised,Estonia Ministries,122,,unknown,,,www.agri.ee:not_json; www.agri.ee/ministeerium-uudised-kontakt:not_json
app-mps-gov-cn-gdnps,중국 완료,501,,unknown,,,app.mps.gov.cn/gdnps/searchIndex.jsp:http_403; app.mps.gov.cn:http_403; app.mps.gov.cn/gdnps/pc/content.jsp?id={:http_403; app.mps.gov.cn/gdnps/zc/index.jsp:http_403
arcep-fr-actualites,French Public Institutions,34,,unknown,,,www.arcep.fr:not_json; www.arcep.fr/actualites/les-publications:not_json; www.arcep.fr/actualites/les-publications:not_json; www.arcep.fr/tmp/arcep_fr_actualites_coo:not_json
acpr-banque-france-fr-fr,French Public Institutions,225,,unknown,,,acpr.banque-france.fr/fr/publications-et:not_json; acpr.banque-france.fr:not_json; acpr.banque-france.fr/fr/communiques-de-:not_json
adruk-org-news-publications,영국완료,210,,unknown,,,www.adruk.org:not_json; www.adruk.org/news-publications/impact-c:not_json; www.adruk.org/our-mission/our-impact/{n}:http_404; www.adruk.org/news-publications/annual-r:not_json
amolf-nl-publications,Dutch Research Centers,512,,unknown,,,amolf.nl:not_json; amolf.nl/publications:not_json
audencia-com-lecole,French Public Universities,246,,unknown,,,www.audencia.com:not_json; www.audencia.com/lecole/newsroom/communi:not_json
arrow-tudublin-ie-creaart,Irish Research Centers,229,231,oai_resumption,high,https://arrow.tudublin.ie/do/oai/,https://arrow.tudublin.ie/do/oai/?verb=ListIdentifiers&metadataPrefix=oai_dc&set=publication%3Acreaart
africamuseum-be-en,벨기에완료,52,,unknown,,,www.africamuseum.be/en/research/news:not_json; www.africamuseum.be:not_json
anses-fr-fr,French Research Institutes,6091,,unknown,,,www.anses.fr:not_json; www.anses.fr/fr/content/avis-et-rapports:not_json; www.anses.fr/fr/content/avis-et-rapports:not_json; www.anses.fr/system/files/<pdf>:http_404
afp-gov-au-news-centre,호주완료,432,,unknown,,,www.afp.gov.au:not_json; www.afp.gov.au/news-centre:not_json
artsetmetiers-fr-fr,French Public Universities,222,,unknown,,,artsetmetiers.fr:not_json; artsetmetiers.fr/fr/communiques-de-press:not_json
afp-gov-au-search,호주완료,49,,unknown,,,afp.gov.au/search:not_json; afp.gov.au:not_json; afp.gov.au/search?keys=pdf&content_type_:not_json
