site_id,method,exact_total,signal,note
acpr-banque-france-fr-fr,no_per_page,,text=0 per_page=0 maxpage=19,list=https://acpr.banque-france.fr/fr/publications-et-statistiques/etudes-et-recherche detail=https://acpr.banque-france.fr/fr/publications-et-statistiques/publications/ndeg-184-le-financement-de-limmobilier-commercial-par-les-banques-francaises-en-2025
afd-fr-fr,no_per_page,,text=0 per_page=0 maxpage=38,list=https://www.afd.fr/fr/publications/liste detail=https://www.afd.fr/fr/ressources/afrique-du-sud-vers-un-changement-de-cap
accc-gov-au-search,total_text,8000,text=8000 per_page=1 maxpage=799,list=https://www.accc.gov.au/search
afp-gov-au-search,total_text_only,2025,text=2025 per_page=0 maxpage=4,list=https://afp.gov.au/search detail=https://afp.gov.au/crimes/espionage-and-foreign-interference
adruk-org-news-publications,list_walk,1,pages=1 text=0 per_page=1 maxpage=0 repeat_p2,list=https://www.adruk.org/news-publications/impact-case-studies/
afp-gov-au-news-centre,list_walk,2,pages=1 text=0 per_page=2 maxpage=1 repeat_p2,list=https://www.afp.gov.au/news-centre
africamuseum-be-en,list_walk,2,pages=1 text=0 per_page=2 maxpage=1 repeat_p2,list=https://www.africamuseum.be/en/research/news
ameslab-gov-news,list_walk,1,pages=1 text=0 per_page=1 maxpage=1 repeat_p2,list=https://www.ameslab.gov/news/news-releases
alrc-gov-au-publications,list_walk,2,pages=1 text=0 per_page=2 maxpage=1 repeat_p2,list=https://www.alrc.gov.au/publications/final-report/
amf-france-org-fr,list_walk,1,pages=1 text=0 per_page=1 maxpage=0 repeat_p2,list=https://www.amf-france.org/sitemap.xml
agri-ee-ministeerium-uudised,list_walk,2,pages=1 text=0 per_page=2 maxpage=1 repeat_p2,list=https://www.agri.ee/ministeerium-uudised-kontakt/uuringud
agriculture-gouv-fr-recherche-developpem,no_per_page,,text=0 per_page=0 maxpage=0,list=https://agriculture.gouv.fr/espace-presse detail=https://agriculture.gouv.fr/caniculessecheresse-les-assureurs-peuvent-verser-jusqua-80-dacompte-sur-leurs-indemnites-aux
anses-fr-fr,list_walk,2,pages=1 text=0 per_page=2 maxpage=1 repeat_p2,list=https://www.anses.fr/fr/content/avis-et-rapports-de-lanses-sur-saisine
ami-swiss-en,list_walk,1,pages=1 text=0 per_page=1 maxpage=1 repeat_p2,list=https://www.ami.swiss/en/research/publications.html
andra-fr-publications,list_walk,2373,pages=2373 text=0 per_page=1 maxpage=1 empty_p2374,list=https://www.andra.fr/publications
amolf-nl-publications,list_walk,7,pages=1 text=0 per_page=7 maxpage=1 repeat_p2,list=https://amolf.nl/publications
arcep-fr-actualites,no_per_page,,text=0 per_page=0 maxpage=0,list=https://www.arcep.fr/actualites/les-publications.html detail=https://www.arcep.fr/actualites/les-publications/gp-page/1.html
ansto-gov-au-search,total_text_only,2073,text=2073 per_page=0 maxpage=8,list=https://www.ansto.gov.au/views/ajax detail=https://www.ansto.gov.au/NDF/useraccess
app-mps-gov-cn-gdnps,no_per_page,,text=0 per_page=0 maxpage=0,list=https://app.mps.gov.cn/gdnps/searchIndex.jsp detail=None
arn-se-om-arn,no_per_page,,text=0 per_page=0 maxpage=0,list=https://www.arn.se/om-arn/arsredovisning/ detail=None
asiapacific-ca-media,list_walk,1,pages=1 text=0 per_page=1 maxpage=1 repeat_p2,list=https://www.asiapacific.ca/media/press-releases
arcnl-nl-publications,list_walk,2,pages=1 text=0 per_page=2 maxpage=1 repeat_p2,list=https://arcnl.nl/publications/types/bachelorthesis
asn-fr-information,list_walk,2,pages=1 text=0 per_page=2 maxpage=1 repeat_p2,list=https://reglementation-controle.asnr.fr/information/publications/rapports-de-l-asnr
astro-oma-be-en,no_per_page,,text=0 per_page=0 maxpage=0,list=https://www.astro.oma.be/common/pdf/y_reports/AnnualReport2024.pdf detail=https://www.astro.oma.be/en/information/publications/annual-reports/
astron-nl-about,no_per_page,,text=0 per_page=0 maxpage=0,list=https://www.astron.nl/about/annual-reports/ detail=None
audencia-com-lecole,no_per_page,,text=0 per_page=0 maxpage=20,list=https://www.audencia.com/lecole/newsroom/communiques-de-presse detail=https://www.audencia.com/actualites/axel-alletru-lance-un-defi-unique-pour-linclusion-par-le-sport-au-triathlon-audencia-la-baule
auri-re-kr-boardes,no_per_page,,text=0 per_page=0 maxpage=27,list=https://www.auri.re.kr/board.es detail=None
auri-re-kr-publication,lastpage_verified,1122,maxpage=57 per_page=20 last=2,list=https://www.auri.re.kr/publication/list.es
auswaertiges-amt-de-de,list_walk,1,pages=1 text=0 per_page=1 maxpage=0 repeat_p2,list=https://www.auswaertiges-amt.de/ajax/json-filterlist/de/newsroom/presse/newsroom-archiv/609192-609192
artsetmetiers-fr-fr,no_per_page,,text=0 per_page=0 maxpage=44,list=https://artsetmetiers.fr/fr/communiques-de-presse detail=None
auswaertiges-amt-de-en,list_walk,1,pages=1 text=0 per_page=1 maxpage=0 repeat_p2,list=https://www.auswaertiges-amt.de/ajax/json-filterlist/en/newsroom/news/609204-609204
babraham-ac-uk-news,list_walk,1,pages=1 text=0 per_page=1 maxpage=1 repeat_p2,list=https://www.babraham.ac.uk/news/category/news
bankofcanada-ca-publications,list_walk,6,pages=1 text=0 per_page=6 maxpage=1 repeat_p2,list=https://www.bankofcanada.ca/publications/canadian-survey-of-consumer-expectations/
banque-france-fr-en,no_per_page,,text=0 per_page=0 maxpage=2,list=https://www.banque-france.fr/en/publications-and-research/our-main-publications/annual-reports detail=https://www.banque-france.fr/en/publications-and-statistics/publications/french-model-financing-purchases-primary-residences
baw-de-en,no_per_page,,text=0 per_page=0 maxpage=0,list=https://www.baw.de/content/v2/publis/ws.php detail=None
bdap-opendata-rgs-mef-gov-it-catalog,no_per_page,,text=0 per_page=0 maxpage=365,list=https://bdap-opendata.rgs.mef.gov.it/catalog detail=https://bdap-opendata.rgs.mef.gov.it/content/progetti-opere-pubbliche-mop-totale
benthamscience-com-press-release,list_walk,1,pages=1 text=0 per_page=1 maxpage=1 repeat_p2,list=https://www.benthamscience.com/press-release
