site_id,sheet,collected,counted,completed,elapsed_s,method,outcome,note
datos-gob-mx-agricultura,Mexico Ministries,85,0,True,0,no_crawler,no_crawler,
datos-gob-mx-cultura,Mexico Ministries,114,0,True,0,no_crawler,no_crawler,
datos-gob-mx-presupuesto,Mexico Ministries,108,0,True,0,no_crawler,no_crawler,
datos-gob-mx-secretaria-salud,Mexico Ministries,9,0,True,0,no_crawler,no_crawler,
datos-gob-mx-secretaria-trabajo,Mexico Ministries,16,0,True,0,no_crawler,no_crawler,
datos-gob-mx-seguridad,Mexico Ministries,27,0,True,0,no_crawler,no_crawler,
datos-gob-mx-territorio,Mexico Ministries,16,0,True,0,no_crawler,no_crawler,
datos-gob-mx-turismo,Mexico Ministries,4,0,True,0,no_crawler,no_crawler,
gob-mx-agricultura,Mexico Ministries,729,0,True,0,no_crawler,no_crawler,
gob-mx-bienestar,Mexico Ministries,729,0,True,0,no_crawler,no_crawler,
gob-mx-buengobierno,Mexico Ministries,771,0,True,0,no_crawler,no_crawler,
gob-mx-defensa,Mexico Ministries,756,0,True,0,no_crawler,no_crawler,
gob-mx-mujeres,Mexico Ministries,270,0,True,0,no_crawler,no_crawler,
gob-mx-salud,Mexico Ministries,765,0,True,0,no_crawler,no_crawler,
gob-mx-se,Mexico Ministries,762,0,True,0,no_crawler,no_crawler,
gob-mx-sectur,Mexico Ministries,765,0,True,0,no_crawler,no_crawler,
gob-mx-sedatu,Mexico Ministries,756,0,True,0,no_crawler,no_crawler,
gob-mx-segob,Mexico Ministries,747,0,True,0,no_crawler,no_crawler,
gob-mx-semar,Mexico Ministries,783,0,True,0,no_crawler,no_crawler,
gob-mx-semarnat,Mexico Ministries,774,0,True,0,no_crawler,no_crawler,
gob-mx-sep,Mexico Ministries,774,0,True,0,no_crawler,no_crawler,
gob-mx-shcp,Mexico Ministries,762,0,True,0,no_crawler,no_crawler,
gob-mx-sict,Mexico Ministries,747,0,True,0,no_crawler,no_crawler,
gob-mx-sre,Mexico Ministries,774,0,True,0,no_crawler,no_crawler,
gob-mx-sspc,Mexico Ministries,773,0,True,0,no_crawler,no_crawler,
gob-mx-stps,Mexico Ministries,748,0,True,0,no_crawler,no_crawler,
academie-sciences-fr-espace-presse,French Public Institutions,68,0,True,430.9,count_crawl,zero_parsed,stealth_ok=7 stealth_fail=0 fallback=0
acpr-banque-france-fr-fr,French Public Institutions,225,233,True,1017.4,count_crawl,ok,caps_neutralized:_MAX_PAGES=200->10000000 | stealth_ok=254 stealth_fail=0 fallback=0
adaptcentre-ie-research,Irish Research Centers,206,0,True,4.5,count_crawl,fetch_fail,stealth_ok=1 stealth_fail=0 fallback=0
accc-gov-au-about-us,호주완료,502,472,True,1502.6,count_crawl,ok,stealth_ok=626 stealth_fail=0 fallback=0
accc-gov-au-search,호주완료,454,358,True,1504.7,count_crawl,ok,stealth_ok=263 stealth_fail=0 fallback=0
afp-gov-au-search,호주완료,49,1,True,9.7,count_crawl,ok,stealth_ok=3 stealth_fail=0 fallback=0
adruk-org-news-publications,영국완료,210,106,True,407.9,count_crawl,ok,stealth_ok=119 stealth_fail=0 fallback=0
agri-ee-ministeerium-uudised,Estonia Ministries,122,8,True,712.9,count_crawl,ok,caps_neutralized:MAX_PAGES=200->10000000 | stealth_ok=9 stealth_fail=0 fallback=0
alrc-gov-au-publications,호주완료,116,116,True,321.8,count_crawl,ok,stealth_ok=128 stealth_fail=0 fallback=0
afd-fr-fr,French Public Institutions,797,319,False,1220.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
afp-gov-au-news-centre,호주완료,432,451,False,1220.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
africamuseum-be-en,벨기에완료,52,11,False,1220.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
agriculture-gouv-fr-recherche-developpem,France Ministries,472,329,False,1210.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
andra-fr-publications,French Research Institutes,1,0,True,7.6,count_crawl,zero_parsed,caps_neutralized:_MAX_PAGES=200->10000000 | stealth_ok=1 stealth_fail=0 fallback=0
amu-hal-science-search,French Public Universities,3048,27,True,9.4,count_crawl,ok,stealth_ok=2 stealth_fail=0 fallback=0
anr-hal-science-search,French Research Institutes,363,53,True,13.7,count_crawl,ok,stealth_ok=3 stealth_fail=0 fallback=0
