site_id,sheet,portal,filtered_total,api_url,note
amu-hal-science-search,French Public Universities,amu,2938,https://api.archives-ouvertes.fr/search/amu/?q=%2A%3A%2A&fq=submitType_s%3Afile&fq=docType_s%3A%28REPORT+OR+OTHER%29&wt=json&rows=0,ok
anr-hal-science-search,French Research Institutes,anr,140008,https://api.archives-ouvertes.fr/search/anr/?q=%2A%3A%2A&fq=openAccess_bool%3Atrue&fq=submitType_s%3Afile&fq=docType_s%3A%28THESE+OR+COMM+OR+ART+OR+MEM%29&wt=json&rows=0,ok
artsetmetiers-hal-science-search,French Public Universities,artsetmetiers,,https://api.archives-ouvertes.fr/search/artsetmetiers/?q=*:*&fq=submitType_s:file&fq=docType_s:(ART OR COMM OR THESE)&wt=json&rows=0,error:non_json
cea-hal-science-cnrgh,French Research Institutes,cea,866,https://api.archives-ouvertes.fr/search/cea/?q=%2A%3A%2A&fq=collCode_s%3ACNRGH&fq=docType_s%3A%28THESE+OR+COMM+OR+ART%29&wt=json&rows=0,ok
cnam-hal-science-ceet,French Research Institutes,cnam,84,https://api.archives-ouvertes.fr/search/cnam/?q=%2A%3A%2A&fq=collCode_s%3ACEET&fq=submitType_s%3Afile&fq=docType_s%3A%28OTHER+OR+REPORT%29&wt=json&rows=0,ok
cnam-hal-science-search,French Public Institutions,cnam,12651,https://api.archives-ouvertes.fr/search/cnam/?q=%2A%3A%2A&fq=submitType_s%3Afile&fq=docType_s%3A%28ART+OR+COMM+OR+THESE%29&wt=json&rows=0,ok
ec-lyon-hal-science-search,French Public Universities,ec-lyon,252,https://api.archives-ouvertes.fr/search/ec-lyon/?q=%2A%3A%2A&fq=submitType_s%3Afile&fq=docType_s%3A%28REPORT+OR+OTHER%29&wt=json&rows=0,ok
ehess-hal-science-search,French Public Universities,ehess,21015,https://api.archives-ouvertes.fr/search/ehess/?q=%2A%3A%2A&fq=submitType_s%3Afile&fq=docType_s%3A%28ART+OR+COMM+OR+MEM+OR+THESE%29&wt=json&rows=0,ok
enac-hal-science-search,French Public Universities,enac,2395,https://api.archives-ouvertes.fr/search/enac/?q=%2A%3A%2A&fq=submitType_s%3Afile&fq=docType_s%3A%28COMM+OR+ART+OR+THESE+OR+MEM%29&wt=json&rows=0,ok
enc-hal-science-search,French Public Universities,enc,666,https://api.archives-ouvertes.fr/search/enc/?q=%2A%3A%2A&fq=submitType_s%3Afile&fq=docType_s%3A%28ART+OR+ETABTHESE+OR+COMM+OR+MEM%29&wt=json&rows=0,ok
