site_id,prev_bucket
education-govt-nz-search,blocked
justice-govt-nz-publications,blocked
mpi-govt-nz-resources-and-forms,blocked
nkvts-no-english,blocked
phfscience-nz-digital-library,blocked
pmc-gov-au-resources,blocked
stats-govt-nz-publications,blocked
transparency-gov-au-publications,blocked
dapa-go-kr-dapa,blocked_or_dead
data-gov-be-nl,blocked_or_dead
doc-cerema-fr-default,blocked_or_dead
en-iwhr-cn-iwhr-english-new,blocked_or_dead
gsi-ie-en-ie,blocked_or_dead
info-daegu-go-kr-newshome,blocked_or_dead
iwhr-com-zgskywwnew,blocked_or_dead
jeonnam-go-kr-m7116,blocked_or_dead
minfin-gov-gr-grafeio-typou,blocked_or_dead
minscfa-gov-gr-grafeio-typou,blocked_or_dead
nidcd-nih-gov-news,blocked_or_dead
nih-gov-news-events,blocked_or_dead
nih-gov-press-room,blocked_or_dead
om-mp-be-nl,blocked_or_dead
opendatacommunities-org-data,blocked_or_dead
regjeringen-no-en,blocked_or_dead
ypergasias-gov-gr-category,blocked_or_dead
chineseafs-org-ckynewsmgr,net_fail
mnd-go-kr-user,net_fail
olympias-lib-uoi-gr-jspui,net_fail
repositorio-uchile-cl-discover,net_fail
andra-fr-publications,pdf_artifact
astro-oma-be-en,pdf_artifact
baw-de-en,pdf_artifact
bmv-de-en,pdf_artifact
bordbia-ie-about,pdf_artifact
cells-es-en,pdf_artifact
cnl-ca-news-publications,pdf_artifact
english-mee-gov-cn-resources,pdf_artifact
eprr-lanl-gov,pdf_artifact
ethniccommunities-govt-nz-resources,pdf_artifact
genomecanada-ca-about,pdf_artifact
hea-ie-resources,pdf_artifact
netl-doe-gov-advsearch,pdf_artifact
noc-ac-uk-about-us,pdf_artifact
pbocri-org-cn-lnzy3html,pdf_artifact
transport-govt-nz-documents-and-public,pdf_artifact
academie-sciences-fr-espace-presse,slow_unknown
anses-fr-fr,slow_unknown
ehesp-fr-espace-presse,slow_unknown
en-ndrc-gov-cn-policies,slow_unknown
forskningsradet-no-om-forskningsradet,slow_unknown
garda-ie-en,slow_unknown
ineris-fr-fr,slow_unknown
insee-fr-fr,slow_unknown
met-no-publikasjoner,slow_unknown
nec-go-kr-site,slow_unknown
provenienzforschung-gv-at-empfehlungen-des-bei,slow_unknown
socialstyrelsen-se-en,slow_unknown
stat-inst-se-om-sis,slow_unknown
tigta-gov-reports,slow_unknown
transformation-gouv-fr-espace-presse,slow_unknown
