site_id,status,counted,html_list_하한
accc-gov-au-search,exact_done,513,513
acpr-banque-france-fr-fr,exact_done,233,233
adruk-org-news-publications,notrust_need2h,,106
afd-fr-fr,notrust_need2h,,42
afp-gov-au-news-centre,exact_done,1336,1336
afp-gov-au-search,notrust_need2h,,1
africamuseum-be-en,exact_done,52,52
agri-ee-ministeerium-uudised,exact_done,8,8
agriculture-gouv-fr-recherche-developpem,exact_done,134,134
alrc-gov-au-publications,exact_done,40,40
ameslab-gov-news,exact_done,396,396
amf-france-org-fr,exact_done,201,201
ami-swiss-en,exact_done,583,583
amolf-nl-publications,exact_done,811,811
andra-fr-publications,exact_done,0,0
anses-fr-fr,lowerbound_need2h,0,0
ansto-gov-au-search,exact_done,26,27
app-mps-gov-cn-gdnps,exact_done,1933,1933
arcep-fr-actualites,notrust_need2h,,0
arcnl-nl-publications,notrust_need2h,,11
arn-se-om-arn,notrust_need2h,,12
artsetmetiers-fr-fr,notrust_need2h,,223
asiapacific-ca-media,notrust_need2h,,52
asn-fr-information,notrust_need2h,,19
astro-oma-be-en,exact_done,0,0
astron-nl-about,exact_done,0,0
audencia-com-lecole,notrust_need2h,,243
auri-re-kr-boardes,notrust_need2h,,267
auri-re-kr-publication,exact_done,559,559
auswaertiges-amt-de-de,exact_done,226,226
auswaertiges-amt-de-en,exact_done,782,782
babraham-ac-uk-news,exact_done,483,483
bam-de-navigation,exact_done,0,0
bankofcanada-ca-publications,notrust_need2h,,27
banque-france-fr-en,notrust_need2h,,30
baw-de-en,exact_done,0,0
bdap-opendata-rgs-mef-gov-it-catalog,exact_done,898,898
benthamscience-com-press-release,exact_done,193,193
bfe-admin-ch-bfe,lowerbound_need2h,1951,1951
bfr-bund-de-en,exact_done,1,1
biblio-naturalsciences-be-rbins-publications,exact_done,750,750
biorbic-com-publications,exact_done,467,467
bj-admin-ch-bj,notrust_need2h,,0
bmas-de-de,exact_done,330,330
bmds-bund-de-aktuelles,notrust_need2h,,84
bmf-gv-at-ministerium,exact_done,3,3
bmftr-bund-de-siteglobals,exact_done,179,179
bmi-gv-at-114,notrust_need2h,,42
bmimi-gv-at-themen,notrust_need2h,,18
bmj-gv-at-ministerium,exact_done,151,151
bmleh-de-en,notrust_need2h,,16
bmleh-de-siteglobals,exact_done,233,233
bmluk-gv-at-service,exact_done,272,272
bmlv-gv-at-wissen-forschung,notrust_need2h,,18
bmvg-de-en,notrust_need2h,,20
bmwet-gv-at-services,notrust_need2h,,87
bmwkms-gv-at-themen,notrust_need2h,,17
bmwsb-bund-de-de,notrust_need2h,,20
bmz-de-de,exact_done,6,6
bnf-fr-fr,exact_done,488,488
bok-or-kr-portal,exact_done,2080,2080
bordbia-ie-about,exact_done,0,0
boverket-se-en,notrust_need2h,,9
brgm-fr-fr,exact_done,241,241
brsn-net-list,exact_done,999,999
budget-canada-ca-home-accueil-enhtml,notrust_need2h,,17
bundesgesundheitsministerium-de-service,exact_done,261,261
bundeskanzleramt-gv-at-bundeskanzleramt,exact_done,447,447
bundesumweltministerium-de-en,notrust_need2h,,7
