site_id,verdict,counted,collected,html_list_하한,note
accc-gov-au-search,measured_partial,513,454,513,측정OK·부분수집
acpr-banque-france-fr-fr,measured_partial,233,225,233,측정OK·부분수집
adruk-org-news-publications,notrust_need2h,,,106,이전패스 count만
afd-fr-fr,notrust_need2h,,,42,이전패스 count만
afp-gov-au-news-centre,measured_partial,1336,432,1336,측정OK·부분수집
afp-gov-au-search,notrust_need2h,,,1,이전패스 count만
africamuseum-be-en,SUSPECT_nonew,52,52,52,새문서0-死의심
agri-ee-ministeerium-uudised,SUSPECT_undercount,8,122,8,측정<수집
agriculture-gouv-fr-recherche-developpem,SUSPECT_undercount,134,472,134,측정<수집
alrc-gov-au-publications,SUSPECT_undercount,40,116,40,측정<수집
ameslab-gov-news,measured_partial,396,394,396,측정OK·부분수집
amf-france-org-fr,measured_partial,201,157,201,측정OK·부분수집
ami-swiss-en,measured_partial,583,558,583,측정OK·부분수집
amolf-nl-publications,measured_partial,811,512,811,측정OK·부분수집
andra-fr-publications,FAKE_zero,0,1,0,완료인데 0건-차단/고장
anses-fr-fr,lowerbound_need2h,0,6091,0,캡걸림 하한
ansto-gov-au-search,SUSPECT_undercount,26,30,27,측정<수집
app-mps-gov-cn-gdnps,measured_partial,1933,501,1933,측정OK·부분수집
arcep-fr-actualites,notrust_need2h,,,0,이전패스 count만
arcnl-nl-publications,notrust_need2h,,,11,이전패스 count만
arn-se-om-arn,notrust_need2h,,,12,이전패스 count만
artsetmetiers-fr-fr,notrust_need2h,,,223,이전패스 count만
asiapacific-ca-media,notrust_need2h,,,52,이전패스 count만
asn-fr-information,notrust_need2h,,,19,이전패스 count만
astro-oma-be-en,FAKE_zero,0,22,0,완료인데 0건-차단/고장
astron-nl-about,FAKE_zero,0,57,0,완료인데 0건-차단/고장
audencia-com-lecole,notrust_need2h,,,243,이전패스 count만
auri-re-kr-boardes,notrust_need2h,,,267,이전패스 count만
auri-re-kr-publication,SUSPECT_undercount,559,593,559,측정<수집
auswaertiges-amt-de-de,measured_partial,226,224,226,측정OK·부분수집
auswaertiges-amt-de-en,measured_partial,782,526,782,측정OK·부분수집
babraham-ac-uk-news,SUSPECT_nonew,483,483,483,새문서0-死의심
bam-de-navigation,FAKE_zero,0,308,0,완료인데 0건-차단/고장
bankofcanada-ca-publications,notrust_need2h,,,27,이전패스 count만
banque-france-fr-en,notrust_need2h,,,30,이전패스 count만
baw-de-en,FAKE_zero,0,14,0,완료인데 0건-차단/고장
bdap-opendata-rgs-mef-gov-it-catalog,measured_partial,898,360,898,측정OK·부분수집
benthamscience-com-press-release,measured_partial,193,191,193,측정OK·부분수집
bfe-admin-ch-bfe,lowerbound_need2h,1951,1002,1951,캡걸림 하한
