site_id,sheet,collected,counted,server_total,completed,elapsed_s,method,note,health
gob-mx-agricultura,Mexico Ministries,729,0,,True,0,no_crawler,,no_crawler
gob-mx-bienestar,Mexico Ministries,729,0,,True,0,no_crawler,,no_crawler
gob-mx-buengobierno,Mexico Ministries,771,0,,True,0,no_crawler,,no_crawler
gob-mx-defensa,Mexico Ministries,756,0,,True,0,no_crawler,,no_crawler
gob-mx-mujeres,Mexico Ministries,270,0,,True,0,no_crawler,,no_crawler
gob-mx-salud,Mexico Ministries,765,0,,True,0,no_crawler,,no_crawler
gob-mx-se,Mexico Ministries,762,0,,True,0,no_crawler,,no_crawler
gob-mx-sectur,Mexico Ministries,765,0,,True,0,no_crawler,,no_crawler
gob-mx-sedatu,Mexico Ministries,756,0,,True,0,no_crawler,,no_crawler
gob-mx-segob,Mexico Ministries,747,0,,True,0,no_crawler,,no_crawler
gob-mx-semar,Mexico Ministries,783,0,,True,0,no_crawler,,no_crawler
gob-mx-semarnat,Mexico Ministries,774,0,,True,0,no_crawler,,no_crawler
gob-mx-sep,Mexico Ministries,774,0,,True,0,no_crawler,,no_crawler
gob-mx-shcp,Mexico Ministries,762,0,,True,0,no_crawler,,no_crawler
gob-mx-sict,Mexico Ministries,747,0,,True,0,no_crawler,,no_crawler
gob-mx-sre,Mexico Ministries,774,0,,True,0,no_crawler,,no_crawler
gob-mx-sspc,Mexico Ministries,773,0,,True,0,no_crawler,,no_crawler
gob-mx-stps,Mexico Ministries,748,0,,True,0,no_crawler,,no_crawler
sonar-ch-global,Switzerland Research Centers,5462,5364,0,True,257.7,count_crawl,caps_neutralized:_MAX_PAGES=200->big,ok
prism-go-kr-homepage,한국완료,2900,20621,385687,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
jsearch-mwr-gov-cn-irs-c-web,중국 완료,2499,2575,40542,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
ir-cwi-nl,Dutch Research Centers,592,786,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
llnl-gov-news,American Research Institutes,3537,3958,5249,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
