site_id,source_total,sampled_n,sampled_pdf,note,pdf_rate,est_real_pdf
e-stat-go-jp-stat-search,1709118,25,2,8%,0.08,136729
openresearch-repository-anu-edu-au-search,393484,25,5,20%,0.2,78696
research-collection-ethz-ch-search,303530,25,25,100%,1.0,303530
inserm-hal-science-search,254477,25,22,88%,0.88,223939
anr-hal-science-search,253771,25,25,100%,1.0,253771
pergamos-lib-uoa-gr-search,250523,25,25,100%,1.0,250523
amu-hal-science-search,237733,25,25,100%,1.0,237733
datacatalogue-adruk-org-browser,219378,25,6,24%,0.24,52650
ostrnrcan-dostrncan-canada-ca-search,198333,25,25,100%,1.0,198333
cea-hal-science-cnrgh,151061,25,23,92%,0.92,138976
data-gov-au-data,140429,25,25,100%,1.0,140429
data-gv-at-datasets,116818,25,25,100%,1.0,116818
dspace-ut-ee-search,114527,0,0,0%,0,0
cds-cern-ch-collection,110804,25,0,0%,0.0,0
ehess-hal-science-search,108008,25,25,100%,1.0,108008
ens-lyon-hal-science-search,106515,25,25,100%,1.0,106515
repositorio-uchile-cl-discover,102175,0,0,0%,0,0
ird-hal-science-search,88988,25,25,100%,1.0,88988
ens-hal-science-search,84355,25,25,100%,1.0,84355
ntrs-nasa-gov-search,71863,25,23,92%,0.92,66113
data-gov-uk-search,58487,25,25,100%,1.0,58487
nora-nerc-ac-uk-view,57936,25,24,96%,0.96,55618
ir-lib-uth-gr-xmlui,55971,0,0,0%,0,0
repository-cern-search,52293,25,25,100%,1.0,52293
polytechnique-hal-science-search,51962,25,25,100%,1.0,51962
gov-scot-publications,50542,25,5,20%,0.2,10108
olympias-lib-uoi-gr-jspui,50014,25,24,96%,0.96,48013
energy-gov-search,49332,25,23,92%,0.92,45385
lenus-ie-browse,47138,25,23,92%,0.92,43366
enpc-hal-science-search,43475,25,25,100%,1.0,43475
gov-uk-search,42435,25,17,68%,0.68,28855
data-nasa-gov-dataset,35964,25,25,100%,1.0,35964
nasa-gov-2025-news-releases,35278,25,0,0%,0.0,0
ec-lyon-hal-science-search,32877,25,25,100%,1.0,32877
cnam-hal-science-ceet,32221,25,25,100%,1.0,32221
cnam-hal-science-search,32221,25,25,100%,1.0,32221
nemertes-library-upatras-gr-browse,31267,25,25,100%,1.0,31267
nemertes-library-upatras-gr-search,31267,25,25,100%,1.0,31267
esteri-it-it,25207,25,0,0%,0.0,0
dtic-dimensions-ai-discover,25000,25,13,52%,0.52,13000
