site_id,url,verdict,fix_class
auri-re-kr-publication,https://www.auri.re.kr/publication/list.es,SPA/JS쉘(정적크롤 불가),SKIP_spa
alrc-gov-au-publications,https://www.alrc.gov.au,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
agriculture-gouv-fr-recherche-developpem,https://agriculture.gouv.fr,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
ansto-gov-au-search,https://www.ansto.gov.au,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
agri-ee-ministeerium-uudised,https://www.agri.ee,WAF차단(헤더/스텔스 우회검증필요),FIX_stealth
astro-oma-be-en,https://www.astro.oma.be,SPA/JS쉘(정적크롤 불가),SKIP_spa
babraham-ac-uk-news,https://www.babraham.ac.uk/news/category/news,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
biorbic-com-publications,https://biorbic.com,WAF차단(헤더/스텔스 우회검증필요),FIX_stealth
bfr-bund-de-en,https://www.bfr.bund.de,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
bmf-gv-at-ministerium,https://www.bmf.gv.at,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
caissedesdepots-fr-communiques-de-press,https://www.caissedesdepots.fr/presse/communiques-de-presse,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
bmz-de-de,https://www.bmz.de,WAF차단(헤더/스텔스 우회검증필요),FIX_stealth
cae-eco-fr-presse-cae-0,https://cae-eco.fr,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
bmas-de-de,https://www.bmas.de,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
bundeskanzleramt-gv-at-bundeskanzleramt,https://www.bundeskanzleramt.gv.at,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
bmluk-gv-at-service,https://www.bmluk.gv.at,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
cdhowe-org-research-insights,https://cdhowe.org,WAF차단(헤더/스텔스 우회검증필요),FIX_stealth
bnf-fr-fr,https://www.bnf.fr,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
dhs-gov-publication,https://www.dhs.gov,WAF차단(헤더/스텔스 우회검증필요),FIX_stealth
bmftr-bund-de-siteglobals,https://www.bmftr.bund.de/SiteGlobals/Forms/Suche/Publikationssuche/Publikationssuche_Formular.html,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
dhs-gov-news-releases,https://www.dhs.gov,WAF차단(헤더/스텔스 우회검증필요),FIX_stealth
cer-rec-gc-ca-en,https://www.cer-rec.gc.ca,SPA/JS쉘(정적크롤 불가),SKIP_spa
africamuseum-be-en,https://www.africamuseum.be,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
directives-doe-gov-directives-browse,https://www.directives.doe.gov,도메인이전→www.energy.gov,FIX_domain
centralesupelec-fr-presse,https://www.centralesupelec.fr/presse/communiques,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
doi-gov-bpp,https://www.doi.gov,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
consult-environment-govt-nz-climate,https://consult.environment.govt.nz,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
casseng-cssn-cn-sky_research,http://casseng.cssn.cn,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
data-mfe-govt-nz-tables,https://data.mfe.govt.nz,"불명(HTTP200, 9947B, 0링크)",PROBE_review
directives-doe-gov-guidance,https://www.energy.gov/management/directives-library,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
economy-ni-gov-uk-publications,https://www.economy-ni.gov.uk,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
cstb-fr-communiques-de-press,https://www.cstb.fr,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
english-www-gov-cn-archive,https://english.www.gov.cn,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
energy-gov-management,https://www.energy.gov,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
