site_id,sheet,collected,counted,server_total,completed,elapsed_s,method,note,health
alrc-gov-au-publications,호주완료,116,20,0,True,15.0,count_crawl,caps_neutralized:SAFETY_PAGE_CAP=200->big;MAX_WALL_SECONDS=1500->big,ok
baw-de-en,GER ResearchCenters(Unfinished),14,0,0,True,1.2,count_crawl,caps_neutralized:MAX_WALL_SECONDS=1500->big;MAX_PAGES_SAFETY=200->big,empty_zero_parse
ansto-gov-au-search,호주완료,30,26,0,True,17.2,count_crawl,caps_neutralized:_MAX_PAGES=200->big;_MAX_WALL=1500->big,ok
directives-doe-gov-directives-browse,USA Executive Departments,205,30,0,False,90.1,count_crawl,external_timeout_kill:lower_bound,timeout
irsn-fr-actualites,French Research Institutes,274,29,0,False,90.0,count_crawl,external_timeout_kill:lower_bound,timeout
africamuseum-be-en,벨기에완료,52,29,0,False,90.0,count_crawl,external_timeout_kill:lower_bound,timeout
agriculture-gouv-fr-recherche-developpem,France Ministries,472,0,0,True,1.2,count_crawl,caps_neutralized:_MAX_PAGES=200->big;_WALL_BUDGET_S=1500->big,empty_zero_parse
babraham-ac-uk-news,영국완료,483,43,0,False,90.0,count_crawl,external_timeout_kill:lower_bound,timeout
bam-de-navigation,GER ResearchCenters(Unfinished),308,23,0,False,90.0,count_crawl,external_timeout_kill:lower_bound,timeout
bmluk-gv-at-service,오스트리아완료,315,272,0,True,2.7,count_crawl,caps_neutralized:_MAX_PAGES=200->big,ok
bfr-bund-de-en,GER ResearchCenters(Unfinished),23,0,0,False,90.0,count_crawl,external_timeout_kill:lower_bound,timeout
bmas-de-de,Germany Ministries,454,64,0,False,90.1,count_crawl,external_timeout_kill:lower_bound,timeout
casseng-cssn-cn-sky_research,중국 완료,8,8,0,True,11.5,count_crawl,caps_neutralized:_MAX_PAGES=200->big;_MAX_SECONDS=1500->big,ok
bnf-fr-fr,French Public Institutions,488,488,0,True,39.1,count_crawl,caps_neutralized:_MAX_PAGES=200->big;_MAX_SECONDS=1500->big,ok
bmf-gv-at-ministerium,오스트리아완료,36,3,0,False,90.0,count_crawl,external_timeout_kill:lower_bound,timeout
bmftr-bund-de-siteglobals,독일완료,197,17,0,False,90.0,count_crawl,external_timeout_kill:lower_bound,timeout
bundeskanzleramt-gv-at-bundeskanzleramt,오스트리아완료,480,39,0,False,90.0,count_crawl,external_timeout_kill:lower_bound,timeout
cae-eco-fr-presse-cae-0,French Public Institutions,64,29,0,False,90.0,count_crawl,external_timeout_kill:lower_bound,timeout
caissedesdepots-fr-communiques-de-press,French Public Institutions,1201,291,0,False,90.0,count_crawl,external_timeout_kill:lower_bound,timeout
doi-gov-bpp,USA Executive Departments,204,204,0,True,4.7,count_crawl,caps_neutralized:_MAX_WALL_SECONDS=1500->big;_MAX_PAGES=200->big,ok
centralesupelec-fr-presse,French Public Institutions,51,23,0,False,90.0,count_crawl,external_timeout_kill:lower_bound,timeout
economy-ni-gov-uk-publications,영국완료,583,0,0,True,0.1,count_crawl,,empty_zero_parse
college-de-france-fr-en,French Public Universities,105,26,0,False,90.1,count_crawl,external_timeout_kill:lower_bound,timeout
consult-environment-govt-nz-climate,뉴질랜드완료,72,66,0,False,90.1,count_crawl,external_timeout_kill:lower_bound,timeout
cstb-fr-communiques-de-press,French Research Institutes,48,48,0,True,83.3,count_crawl,caps_neutralized:_MAX_PAGES=200->big,ok
cso-ie-en,Irish Research Centers,388,106,0,False,90.1,count_crawl,external_timeout_kill:lower_bound,timeout
didaktorika-gr-eadd,Greece Research Centers,118,36,0,False,90.1,count_crawl,external_timeout_kill:lower_bound,timeout
directives-doe-gov-guidance,USA Executive Departments,260,42,0,False,90.1,count_crawl,external_timeout_kill:lower_bound,timeout
drugsandalcohol-ie-cgi,Irish Research Centers,500,847,0,False,90.1,count_crawl,external_timeout_kill:lower_bound,timeout
eng-mod-gov-cn-2025xb,중국 완료,10,10,0,True,9.4,count_crawl,caps_neutralized:MAX_PAGES=200->big;MAX_SECONDS=1500->big,ok
environment-govt-nz-what-you-can-do,뉴질랜드완료,58,0,0,True,0.0,count_crawl,caps_neutralized:MAX_PAGES=200->big;WALL_CLOCK_SECONDS=1500->big;DEADLINE_MARGIN_SECONDS=60->big,empty_zero_parse
em-dk-aktuelt,덴마크완료,350,49,0,False,90.1,count_crawl,external_timeout_kill:lower_bound,timeout
emsl-pnnl-gov-science,American Research Institutes,6,6,0,False,90.1,count_crawl,external_timeout_kill:lower_bound,timeout
en-nim-ac-cn-taxonomy,중국 완료,303,81,0,False,90.1,count_crawl,external_timeout_kill:lower_bound,timeout
english-mee-gov-cn-resources,중국 완료,20,0,0,True,82.0,count_crawl,caps_neutralized:_MAX_PAGES=200->big,empty_zero_parse
