시트명,일련번호,기관명,URL주소,상태코드,페이지제목,PDF링크수,문서수힌트,크롤판정
호주완료,3,호주 법무부,https://www.ag.gov.au/integrity/publications,200,Integrity Publications | Attorney-General&#039;s Department,0,82,"크롤가능(HTML,PDF미검출)"
호주완료,3,호주 법무부,https://www.ag.gov.au/international-relations/publications,200,International Relations Publications | Attorney-General&#039;s Department,0,69,"크롤가능(HTML,PDF미검출)"
호주완료,3,호주 법무부,https://www.ag.gov.au/families-and-marriage/publications,200,Families and Marriage Publications | Attorney-General&#039;s Department,0,284,"크롤가능(HTML,PDF미검출)"
호주완료,3,호주 법무부,https://www.ag.gov.au/rights-and-protections/publications,200,Rights and Protections Publications | Attorney-General&#039;s Department,0,271,"크롤가능(HTML,PDF미검출)"
호주완료,3,호주 법무부,https://www.ag.gov.au/legal-system/publications,200,Legal System Publications | Attorney-General&#039;s Department,0,208,"크롤가능(HTML,PDF미검출)"
호주완료,3,호주 법무부,https://www.ag.gov.au/crime/publications,200,Crime Publications | Attorney-General&#039;s Department,0,49,"크롤가능(HTML,PDF미검출)"
호주완료,3,호주 법무부,https://www.ag.gov.au/national-security/publications,200,National Security Publications | Attorney-General&#039;s Department,0,36,"크롤가능(HTML,PDF미검출)"
호주완료,3,호주 법무부,https://www.agriculture.gov.au/about/publications/list,200,Publications - DAFF,0,,차단(봇방어)
호주완료,4,호주 국방부,https://www.defence.gov.au/about/accessing-information/annual-reports,200,Annual Reports | About | Defence,0,,"크롤가능(HTML,PDF미검출)"
호주완료,4,호주 국방부,https://www.defence.gov.au/about/accessing-information/defence-census,200,Defence census | About | Defence,5,,크롤가능(PDF링크有)
호주완료,4,호주 국방부,https://www.defence.gov.au/about/accessing-information/defence-force-discipline-reports,200,Defence Force Discipline reports | About | Defence,28,,크롤가능(PDF링크有)
호주완료,4,호주 국방부,https://www.defence.gov.au/about/accessing-information/export-permit-statistics,200,Export permit statistics | About | Defence,15,,크롤가능(PDF링크有)
호주완료,5,호주 금융부,https://www.finance.gov.au/publications/annual-report,200,Publications | Department of Finance,0,,"크롤가능(HTML,PDF미검출)"
호주완료,5,호주 금융부,https://www.finance.gov.au/publications/reports,200,&nbsp;,0,,"크롤가능(HTML,PDF미검출)"
호주완료,6,호주 외무통상부,https://www.dfat.gov.au/about-us/publications?page=1,200,Publications | Australian Government Department of Foreign Affairs and Trade,0,,"크롤가능(HTML,PDF미검출)"
호주완료,7,호주 보건장애노화부,https://www.health.gov.au/resources/publications,200,"Publications | Australian Government Department of Health, Disability and Ageing",0,9630,"크롤가능(HTML,PDF미검출)"
호주완료,8,데이터버스,https://dataverse.ada.edu.au/dataverse/ada?q=&types=dataverses%3Adatasets%3Afiles&sort=dateSort&order=desc&page=1,200,Making sure you&#39;re not a bot!,0,,"크롤가능(HTML,PDF미검출)"
호주완료,11,호주 통계청,https://dataexplorer.abs.gov.au/?tm=%20&pg=0&fc=Economy&snb=1213&isAvailabilityDisabled=false,200,,0,,차단(봇방어)
호주완료,12,호주 통신미디어청,https://www.acma.gov.au/media-releases,200,Media releases | ACMA,0,,"크롤가능(HTML,PDF미검출)"
호주완료,12,호주 통신미디어청,https://www.acma.gov.au/publications,200,Publications | ACMA,0,,"크롤가능(HTML,PDF미검출)"
호주완료,17,호주 보건복지연구소,https://www.aihw.gov.au/reports-data/downloadable-resources,403,Just a moment...,0,,차단(봇방어)
호주완료,17,호주 보건복지연구소,https://www.aihw.gov.au/reports-data/latest-reports,403,Just a moment...,0,,차단(봇방어)
호주완료,17,호주 보건복지연구소,https://www.aihw.gov.au/reports-data/corporate-publications/reports,403,Just a moment...,0,,차단(봇방어)
호주완료,17,호주 보건복지연구소,https://www.aihw.gov.au/news-media/media-releases,403,Just a moment...,0,,차단(봇방어)
호주완료,18,호주 국립보건의료연구위원회,https://www.nhmrc.gov.au/about-us/publications,200,Publications | NHMRC,0,,"크롤가능(HTML,PDF미검출)"
호주완료,18,호주 국립보건의료연구위원회,https://www.nhmrc.gov.au/about-us/resources,200,Resources | NHMRC,0,,"크롤가능(HTML,PDF미검출)"
호주완료,19,호주원자력과학기술기구,"https://apo.ansto.gov.au/search?spc.page=1&spc.sf=dc.date.accessioned&spc.sd=DESC&f.has_content_in_original_bundle=true,equals",200,,0,,JS렌더의심(정적본문빈약)
호주완료,22,"호주 산업, 과학, 에너지 및 자원부",https://www.industry.gov.au/search?search=pdf,200,&nbsp;,0,,"크롤가능(HTML,PDF미검출)"
호주완료,23,호주 법무부,https://www.ag.gov.au/search?query=pdf,200,&nbsp;,0,,"크롤가능(HTML,PDF미검출)"
호주완료,24,호주 농업 및 자원 경제 과학국,https://www.agriculture.gov.au/search?search_api_fulltext=pdf,200,&nbsp;,0,,"크롤가능(HTML,PDF미검출)"
호주완료,25,호주 국방부,https://www.defence.gov.au/search?keywords=pdf&cat=all,200,&nbsp;,0,,"크롤가능(HTML,PDF미검출)"
호주완료,26,호주 금융부,https://www.finance.gov.au/search?search=pdf,200,&nbsp;,0,,"크롤가능(HTML,PDF미검출)"
호주완료,27,호주 외무통상부,https://www.dfat.gov.au/search?keys=pdf,200,&nbsp;,0,,"크롤가능(HTML,PDF미검출)"
호주완료,28,호주 보건장애노화부,https://www.health.gov.au/node/44804?query=pdf&search_scope=0,200,"Search | Australian Government Department of Health, Disability and Ageing",0,,"크롤가능(HTML,PDF미검출)"
호주완료,31,호주 사회복지부,https://www.dss.gov.au/search?search=pdf,200,&nbsp;,0,,"크롤가능(HTML,PDF미검출)"
호주완료,33,호주 보훈부,https://www.dva.gov.au/search/node?keys=pdf,200,&nbsp;,0,,"크롤가능(HTML,PDF미검출)"
호주완료,34,호주 통계청,https://search.abs.gov.au/s/search.html?form=simple&collection=abs-search&query=pdf,200,Search results | Australian Bureau of Statistics,0,,"크롤가능(HTML,PDF미검출)"
호주완료,35,호주 통신미디어청,https://www.acma.gov.au/search?search_api_fulltext=pdf,200,&nbsp;,0,,"크롤가능(HTML,PDF미검출)"
호주완료,39,호주 보건복지연구소,"https://www.aihw.gov.au/search?%7B%22ContentType%22:%5B%22Releases%22%5D,%22SearchText%22:%22pdf%22%7D",403,Just a moment...,0,,차단(봇방어)
호주완료,40,호주 국립보건의료연구위원회,https://www.nhmrc.gov.au/search?search=pdf,200,&nbsp;,0,,"크롤가능(HTML,PDF미검출)"
호주완료,44,호주 해양과학연구원,https://www.aims.gov.au/search?keys=pdf,200,&nbsp;,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,1,뉴질랜드 문화유산부,https://www.mch.govt.nz/publications,403,Just a moment...,0,,차단(봇방어)
뉴질랜드완료,10,뉴질랜드 보건부,https://www.health.govt.nz/statistics-research/statistics-and-data-sets/maori-health,200,Māori health data and statistics | Ministry of Health NZ,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,10,뉴질랜드 보건부,https://www.health.govt.nz/statistics-research/statistics-and-data-sets/mental-health,200,Mental health data and statistics | Ministry of Health NZ,0,,"크롤가능(HTML,PDF미검출)"
