site_id,site_name,evidence,collected
academie-sciences-fr-espace-presse,Custom: academie-sciences-fr-espace-presse,정밀검증 확정,68
accc-gov-au-about-us,Custom: accc-gov-au-about-us,ok(건강검진),502
accc-gov-au-search,Custom: accc-gov-au-search,ok(건강검진),454
acma-gov-au-publications,Australian Communications and Media Authority — Publications,ok(건강검진),316
acpr-banque-france-fr-fr,Custom: acpr-banque-france-fr-fr,ok(건강검진),225
adaptcentre-ie-research,Custom: adaptcentre-ie-research,ok(건강검진),206
adruk-org-news-publications,Custom: adruk-org-news-publications,ok(건강검진),210
afd-fr-fr,Custom: afd-fr-fr,ok(건강검진),797
afp-gov-au-news-centre,Custom: afp-gov-au-news-centre,ok(건강검진),432
afp-gov-au-search,Custom: afp-gov-au-search,ok(건강검진),49
africamuseum-be-en,Custom: africamuseum-be-en,ok(건강검진),52
ag-gov-au-publications,Attorney-General's Department — Publications,ok(건강검진),607
agri-ee-ministeerium-uudised,Custom: agri-ee-ministeerium-uudised,ok(건강검진),122
agriculture-gouv-fr-recherche-developpem,Custom: agriculture-gouv-fr-recherche-developpem,ok(건강검진),472
alrc-gov-au-publications,Custom: alrc-gov-au-publications,ok(건강검진),116
ameslab-gov-news,Custom: ameslab-gov-news,ok(건강검진),394
amf-france-org-fr,Custom: amf-france-org-fr,ok(건강검진),157
ami-swiss-en,Custom: ami-swiss-en,ok(건강검진),558
amolf-nl-publications,Custom: amolf-nl-publications,ok(건강검진),512
amu-hal-science-search,Custom: amu-hal-science-search,ok(건강검진),3048
anr-hal-science-search,Custom: anr-hal-science-search,ok(건강검진),363
anses-fr-fr,Custom: anses-fr-fr,정밀검증 확정,6091
ansto-gov-au-search,Custom: ansto-gov-au-search,ok(건강검진),30
app-mps-gov-cn-gdnps,Custom: app-mps-gov-cn-gdnps,ok(건강검진),501
apra-gov-au-statistics,Custom: apra-gov-au-statistics,ok(건강검진),75
arcep-fr-actualites,Custom: arcep-fr-actualites,ok(건강검진),34
archives-nationales-culture-gouv-fr-presse,Custom: archives-nationales-culture-gouv-fr-presse,ok(건강검진),15
arcnl-nl-publications,Custom: arcnl-nl-publications,ok(건강검진),11
arcom-fr-presse,Custom: arcom-fr-presse,ok(건강검진),290
arn-se-om-arn,Custom: arn-se-om-arn,ok(건강검진),80
arrow-tudublin-ie-creaart,Custom: arrow-tudublin-ie-creaart,ok(건강검진),229
artsetmetiers-fr-fr,Custom: artsetmetiers-fr-fr,ok(건강검진),222
artsetmetiers-hal-science-search,Custom: artsetmetiers-hal-science-search,ok(건강검진),86
asiapacific-ca-media,Custom: asiapacific-ca-media,ok(건강검진),50
asn-fr-information,Custom: asn-fr-information,ok(건강검진),19
astro-oma-be-en,Custom: astro-oma-be-en,정밀검증 확정,22
astron-nl-about,Custom: astron-nl-about,ok(건강검진),57
audencia-com-lecole,Custom: audencia-com-lecole,ok(건강검진),246
auri-re-kr-boardes,Custom: auri-re-kr-boardes,ok(건강검진),260
auri-re-kr-publication,Custom: auri-re-kr-publication,ok(건강검진),593
auswaertiges-amt-de-de,Custom: auswaertiges-amt-de-de,ok(건강검진),224
auswaertiges-amt-de-en,Custom: auswaertiges-amt-de-en,ok(건강검진),526
avoindata-suomi-fi-data,Custom: avoindata-suomi-fi-data,ok(건강검진),154
babraham-ac-uk-news,Custom: babraham-ac-uk-news,ok(건강검진),483
bam-de-navigation,Custom: bam-de-navigation,ok(건강검진),308
bankofcanada-ca-publications,Custom: bankofcanada-ca-publications,ok(건강검진),27
banque-france-fr-en,Custom: banque-france-fr-en,ok(건강검진),530
baw-de-en,Custom: baw-de-en,정밀검증 확정,14
bdap-opendata-rgs-mef-gov-it-catalog,Custom: bdap-opendata-rgs-mef-gov-it-catalog,ok(건강검진),360
benthamscience-com-press-release,Custom: benthamscience-com-press-release,ok(건강검진),191
bfe-admin-ch-bfe,Custom: bfe-admin-ch-bfe,ok(건강검진),1002
bfr-bund-de-en,Custom: bfr-bund-de-en,ok(건강검진),23
bfs-admin-ch-bfs,Custom: bfs-admin-ch-bfs,ok(건강검진),384
biblio-naturalsciences-be-rbins-publications,Custom: biblio-naturalsciences-be-rbins-publications,ok(건강검진),500
biorbic-com-publications,Custom: biorbic-com-publications,ok(건강검진),497
bj-admin-ch-bj,Custom: bj-admin-ch-bj,ok(건강검진),41
bjerknes-uib-no-en,Custom: bjerknes-uib-no-en,ok(건강검진),214
bm-dk-soeg,Custom: bm-dk-soeg,ok(건강검진),88
bmas-de-de,Custom: bmas-de-de,ok(건강검진),454
bmbfsfj-bund-de-bmbfsfj,Custom: bmbfsfj-bund-de-bmbfsfj,ok(건강검진),502
